screening_id,customer_id,screening_date,screening_type,screening_vendor,sanctions_hit,sanctions_list,sanctions_true_match,pep_hit,pep_category,adverse_media_hit,adverse_media_category,media_source_type,adverse_media_relevant,open_source_checks_done,resolution_days,disposition
SCR000184,C00069,2025-08-03,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000185,C00070,2025-02-25,Initial,World-Check,N,,,N,,N,,,,Y,0,No Hit
SCR000186,C00070,2025-08-24,Ongoing Rescreen,World-Check,N,,,N,,N,,,,Y,0,No Hit
SCR000187,C00071,2024-09-29,Initial,World-Check,N,,,Y,Foreign PEP,N,,,,Y,5,Cleared - False Positive
SCR000188,C00071,2025-03-28,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000189,C00071,2025-09-24,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000190,C00072,2025-12-05,Initial,Dow Jones Risk,N,,,N,,Y,Bribery & Corruption,Regional News,N,Y,10,Cleared - False Positive
SCR000191,C00073,2025-10-10,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000192,C00074,2024-10-24,Initial,LexisNexis Bridger,N,,,N,,N,,,,Y,0,No Hit
SCR000193,C00074,2025-04-22,Ongoing Rescreen,World-Check,N,,,N,,N,,,,Y,0,No Hit
SCR000194,C00074,2025-10-19,Ongoing Rescreen,LexisNexis Bridger,Y,UK HMT/OFSI,N,N,,N,,,,Y,4,Cleared - False Positive
SCR000195,C00075,2025-07-05,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000196,C00076,2024-09-12,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000197,C00076,2025-03-11,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000198,C00076,2025-09-07,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000199,C00077,2024-03-31,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000200,C00077,2024-09-27,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000201,C00077,2025-03-26,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000202,C00077,2025-09-22,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000203,C00078,2024-07-31,Initial,Dow Jones Risk,N,,,N,,N,,,,Y,0,No Hit
SCR000204,C00078,2025-01-27,Ongoing Rescreen,World-Check,N,,,N,,N,,,,Y,0,No Hit
SCR000205,C00078,2025-07-26,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,Y,0,No Hit
SCR000206,C00079,2025-09-02,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000207,C00080,2024-12-18,Initial,LexisNexis Bridger,N,,,N,,N,,,,Y,0,No Hit
SCR000208,C00080,2025-06-16,Ongoing Rescreen,World-Check,N,,,N,,N,,,,Y,0,No Hit
SCR000209,C00080,2025-12-13,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,Y,0,No Hit
SCR000210,C00081,2025-09-24,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000211,C00082,2024-08-23,Initial,Dow Jones Risk,N,,,Y,Close Associate,N,,,,Y,2,Cleared - False Positive
SCR000212,C00082,2025-02-19,Ongoing Rescreen,World-Check,N,,,Y,Family Member,N,,,,Y,18,Cleared - False Positive
SCR000213,C00082,2025-08-18,Ongoing Rescreen,World-Check,N,,,Y,Domestic PEP,N,,,,Y,10,Cleared - False Positive
SCR000214,C00083,2024-12-02,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000215,C00083,2025-05-31,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000216,C00083,2025-11-27,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000217,C00084,2024-02-23,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000218,C00084,2024-08-21,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000219,C00084,2025-02-17,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000220,C00084,2025-08-16,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000221,C00085,2025-07-24,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000222,C00086,2024-08-16,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000223,C00086,2025-02-12,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000224,C00086,2025-08-11,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000225,C00087,2024-03-07,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000226,C00087,2024-09-03,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000227,C00087,2025-03-02,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000228,C00087,2025-08-29,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000229,C00088,2024-06-09,Initial,Dow Jones Risk,N,,,Y,Domestic PEP,N,,,,Y,3,Cleared - False Positive
SCR000230,C00088,2024-12-06,Ongoing Rescreen,World-Check,N,,,Y,Domestic PEP,N,,,,Y,1,Cleared - False Positive
SCR000231,C00088,2025-06-04,Ongoing Rescreen,World-Check,N,,,Y,Close Associate,N,,,,Y,2,Cleared - False Positive
SCR000232,C00088,2025-12-01,Ongoing Rescreen,LexisNexis Bridger,N,,,Y,Close Associate,N,,,,Y,4,Cleared - False Positive
SCR000233,C00089,2025-05-01,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000234,C00089,2025-10-28,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000235,C00090,2025-08-19,Initial,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000236,C00091,2025-11-28,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000237,C00092,2024-06-21,Initial,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000238,C00092,2024-12-18,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000239,C00092,2025-06-16,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000240,C00092,2025-12-13,Ongoing Rescreen,LexisNexis Bridger,N,,,N,,N,,,,N,0,No Hit
SCR000241,C00093,2025-03-07,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000242,C00093,2025-09-03,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000243,C00094,2024-12-01,Initial,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
SCR000244,C00094,2025-05-30,Ongoing Rescreen,World-Check,N,,,N,,N,,,,N,0,No Hit
SCR000245,C00094,2025-11-26,Ongoing Rescreen,Dow Jones Risk,N,,,N,,N,,,,N,0,No Hit
