month,branch_id,net_interest_income_gbp,fee_and_commission_income_gbp,total_income_gbp
2025-08-01,BR03,843800,299400,1143200
2025-09-01,BR03,933500,340300,1273800
2025-10-01,BR03,952200,360700,1312900
2025-11-01,BR03,931900,356400,1288300
2025-12-01,BR03,925600,370000,1295600
2024-01-01,BR04,800500,315200,1115700
2024-02-01,BR04,821900,295700,1117600
2024-03-01,BR04,822500,298000,1120500
2024-04-01,BR04,833000,300900,1133900
2024-05-01,BR04,768700,301800,1070500
2024-06-01,BR04,810800,311900,1122700
2024-07-01,BR04,818000,306000,1124000
2024-08-01,BR04,887500,303700,1191200
2024-09-01,BR04,724400,295600,1020000
2024-10-01,BR04,816600,314600,1131200
2024-11-01,BR04,829600,306400,1136000
2024-12-01,BR04,826900,287000,1113900
2025-01-01,BR04,797300,334600,1131900
2025-02-01,BR04,816400,313800,1130200
2025-03-01,BR04,848900,309400,1158300
2025-04-01,BR04,835200,306100,1141300
2025-05-01,BR04,776500,322900,1099400
2025-06-01,BR04,827200,308700,1135900
2025-07-01,BR04,832800,334900,1167700
2025-08-01,BR04,807500,302800,1110300
2025-09-01,BR04,852000,328000,1180000
2025-10-01,BR04,835200,304700,1139900
2025-11-01,BR04,870100,318300,1188400
2025-12-01,BR04,876600,298800,1175400
2024-01-01,BR05,610700,228600,839300
2024-02-01,BR05,655700,252400,908100
2024-03-01,BR05,610300,205400,815700
2024-04-01,BR05,571300,229800,801100
2024-05-01,BR05,606000,251800,857800
2024-06-01,BR05,653500,257900,911400
2024-07-01,BR05,636100,199100,835200
2024-08-01,BR05,615500,215900,831400
2024-09-01,BR05,648600,220600,869200
2024-10-01,BR05,641700,228900,870600
2024-11-01,BR05,617900,264400,882300
2024-12-01,BR05,638400,229400,867800
2025-01-01,BR05,624300,238000,862300
2025-02-01,BR05,668200,265400,933600
2025-03-01,BR05,629700,227600,857300
2025-04-01,BR05,662900,241000,903900
2025-05-01,BR05,617600,213800,831400
2025-06-01,BR05,612800,231300,844100
2025-07-01,BR05,683500,216600,900100
2025-08-01,BR05,654900,243800,898700
2025-09-01,BR05,677800,222700,900500
2025-10-01,BR05,634800,246400,881200
2025-11-01,BR05,678300,241200,919500
2025-12-01,BR05,662800,250800,913600
2024-01-01,BR06,604600,235500,840100
2024-02-01,BR06,630800,244900,875700
2024-03-01,BR06,618800,236500,855300
2024-04-01,BR06,648200,246300,894500
2024-05-01,BR06,682300,280600,962900
2024-06-01,BR06,664300,229600,893900
2024-07-01,BR06,671300,245200,916500
2024-08-01,BR06,674700,248900,923600
2024-09-01,BR06,640100,255300,895400
2024-10-01,BR06,695000,252600,947600
2024-11-01,BR06,696000,250100,946100
2024-12-01,BR06,643800,253500,897300
2025-01-01,BR06,673300,252100,925400
2025-02-01,BR06,669100,246500,915600
2025-03-01,BR06,691100,265600,956700
2025-04-01,BR06,636000,257500,893500
2025-05-01,BR06,722200,263800,986000
2025-06-01,BR06,684300,252100,936400
2025-07-01,BR06,683300,276400,959700
2025-08-01,BR06,684600,239800,924400
2025-09-01,BR06,689600,240000,929600
2025-10-01,BR06,710000,239800,949800
2025-11-01,BR06,746700,268100,1014800
2025-12-01,BR06,661700,255100,916800
2024-01-01,BR07,649000,251700,900700
2024-02-01,BR07,728300,234100,962400
2024-03-01,BR07,657500,253000,910500
2024-04-01,BR07,692200,256600,948800
2024-05-01,BR07,658900,220900,879800
2024-06-01,BR07,726600,262900,989500
2024-07-01,BR07,661400,255900,917300
2024-08-01,BR07,688000,239800,927800
2024-09-01,BR07,682000,233500,915500
2024-10-01,BR07,690700,258300,949000
2024-11-01,BR07,645000,254300,899300
2024-12-01,BR07,702200,230800,933000
2025-01-01,BR07,747700,278100,1025800
2025-02-01,BR07,743200,244500,987700
2025-03-01,BR07,749500,254600,1004100
2025-04-01,BR07,755200,261700,1016900
2025-05-01,BR07,694500,252000,946500
2025-06-01,BR07,757200,279200,1036400
2025-07-01,BR07,685600,262600,948200
2025-08-01,BR07,687600,273200,960800
2025-09-01,BR07,696900,260800,957700
2025-10-01,BR07,720300,291600,1011900
2025-11-01,BR07,688000,260500,948500
2025-12-01,BR07,754100,280500,1034600
2024-01-01,BR08,522200,208300,730500
2024-02-01,BR08,566600,211700,778300
2024-03-01,BR08,529100,198600,727700
2024-04-01,BR08,518500,198400,716900
2024-05-01,BR08,541600,202100,743700
2024-06-01,BR08,555300,204500,759800
2024-07-01,BR08,542600,182900,725500
2024-08-01,BR08,549200,218900,768100
2024-09-01,BR08,571100,186700,757800
2024-10-01,BR08,549000,202900,751900
2024-11-01,BR08,563600,202200,765800
2024-12-01,BR08,597700,205400,803100
2025-01-01,BR08,517100,216500,733600
2025-02-01,BR08,572200,199300,771500
2025-03-01,BR08,561900,212900,774800
2025-04-01,BR08,539000,215500,754500
2025-05-01,BR08,559100,195500,754600
2025-06-01,BR08,571600,197800,769400
2025-07-01,BR08,602100,213600,815700
2025-08-01,BR08,589900,174800,764700
2025-09-01,BR08,573700,227300,801000
2025-10-01,BR08,546400,225100,771500
2025-11-01,BR08,560100,209000,769100
2025-12-01,BR08,557800,218700,776500
2024-01-01,BR09,437700,168100,605800
2024-02-01,BR09,412000,171700,583700
2024-03-01,BR09,417000,169200,586200
2024-04-01,BR09,456800,157700,614500
2024-05-01,BR09,441300,161000,602300
2024-06-01,BR09,395400,172000,567400
2024-07-01,BR09,433600,162500,596100
2024-08-01,BR09,461100,162500,623600
2024-09-01,BR09,445800,185200,631000
2024-10-01,BR09,458500,170800,629300
2024-11-01,BR09,444400,171900,616300
2024-12-01,BR09,466400,165800,632200
2025-01-01,BR09,426900,170600,597500
2025-02-01,BR09,465700,162500,628200
2025-03-01,BR09,446000,158900,604900
2025-04-01,BR09,468200,163600,631800
2025-05-01,BR09,446400,164200,610600
2025-06-01,BR09,467500,176000,643500
2025-07-01,BR09,463300,167200,630500
2025-08-01,BR09,447300,170000,617300
2025-09-01,BR09,457500,177600,635100
2025-10-01,BR09,474600,175900,650500
2025-11-01,BR09,495400,193400,688800
2025-12-01,BR09,470900,173800,644700
2024-01-01,BR10,409600,164100,573700
2024-02-01,BR10,390300,144400,534700
2024-03-01,BR10,392900,160800,553700
2024-04-01,BR10,426100,144900,571000
2024-05-01,BR10,404700,166900,571600
2024-06-01,BR10,409300,151000,560300
2024-07-01,BR10,423300,146200,569500
2024-08-01,BR10,443300,166500,609800
2024-09-01,BR10,378300,143300,521600
2024-10-01,BR10,403800,144900,548700
2024-11-01,BR10,387800,141300,529100
2024-12-01,BR10,404300,147600,551900
2025-01-01,BR10,431300,161800,593100
2025-02-01,BR10,414400,153200,567600
2025-03-01,BR10,401800,161200,563000
2025-04-01,BR10,393900,151200,545100
2025-05-01,BR10,404800,177800,582600
2025-06-01,BR10,422000,169400,591400
2025-07-01,BR10,424100,163800,587900
2025-08-01,BR10,421000,149300,570300
2025-09-01,BR10,401700,141000,542700
2025-10-01,BR10,429500,176300,605800
2025-11-01,BR10,401400,151800,553200
2025-12-01,BR10,439600,154500,594100
