loan_id,customer_id,branch_id,product,origination_date,term_months,exposure_gbp,interest_rate_pct,credit_score,credit_score_band,debt_to_income_ratio,loan_to_value_pct,sector,region,days_past_due,ifrs9_stage,default_flag,probability_of_default,loss_given_default,expected_credit_loss_gbp,collateral_type
L00036,C00911,BR03,Mortgage,2026-03-03,300,302200,6.02,628,Fair (580-669),9.0,84.0,Retired,North West,45,Stage 2 (Significant increase in risk),N,0.0968,0.18,18429,Property
L00037,C02231,BR02,Personal Loan,2025-02-16,12,12300,8.66,721,Good (670-739),0.31,,Employee,London,0,Stage 1 (Performing),N,0.0042,0.45,23,Unsecured
L00038,C00550,BR05,Mortgage,2025-05-11,300,200600,5.4,658,Fair (580-669),3.48,63.2,Self-employed,North East,0,Stage 1 (Performing),N,0.0262,0.18,946,Property
L00039,C02370,BR08,Credit Card,2026-04-01,24,6700,18.47,788,Excellent (740+),0.19,,Employee,South West,0,Stage 1 (Performing),N,0.0013,0.78,7,Unsecured
L00040,C00696,BR08,Mortgage,2025-03-06,300,189100,4.97,716,Good (670-739),5.01,64.0,Retired,South West,0,Stage 1 (Performing),N,0.0172,0.18,585,Property
L00041,C01042,BR02,Commercial Mortgage,2025-08-17,300,782700,5.43,686,Good (670-739),0.6,79.2,Professional Services,London,0,Stage 1 (Performing),N,0.0061,0.18,859,Property
L00042,C02439,BR10,Mortgage,2025-05-04,300,191200,4.54,771,Excellent (740+),9.0,60.8,Employee,Northern Ireland,0,Stage 1 (Performing),N,0.0098,0.18,337,Property
L00043,C00895,BR01,SME Term Loan,2025-05-07,24,63500,9.81,618,Fair (580-669),0.14,,Professional Services,London,0,Stage 1 (Performing),N,0.016,0.45,457,Unsecured
L00044,C01958,BR07,Personal Loan,2026-03-21,36,17100,8.22,771,Excellent (740+),0.28,,Self-employed,Scotland,0,Stage 1 (Performing),N,0.0018,0.45,14,Unsecured
L00045,C02506,BR03,Credit Card,2024-12-06,60,2100,20.51,592,Fair (580-669),0.05,,Employee,North West,0,Stage 1 (Performing),N,0.0318,0.78,52,Unsecured
L00046,C02625,BR02,Personal Loan,2025-12-03,24,7100,8.33,757,Excellent (740+),0.18,,Employee,London,0,Stage 1 (Performing),N,0.0022,0.45,7,Unsecured
L00047,C01983,BR08,Mortgage,2024-12-22,300,204600,6.18,595,Fair (580-669),2.33,65.1,Employee,South West,0,Stage 1 (Performing),N,0.0489,0.18,1801,Property
L00048,C00031,BR04,Mortgage,2025-08-16,300,222700,6.02,635,Fair (580-669),9.0,77.8,Retired,Midlands,45,Stage 2 (Significant increase in risk),N,0.0871,0.18,12220,Property
L00049,C00881,BR02,Commercial Mortgage,2024-08-28,300,376800,6.39,570,Poor (300-579),0.2,72.5,Charity,London,0,Stage 1 (Performing),N,0.0357,0.18,2421,Property
L00050,C00545,BR02,Overdraft,2025-08-04,36,1000,8.81,707,Good (670-739),0.05,,Employee,London,0,Stage 1 (Performing),N,0.0036,0.78,3,Unsecured
L00051,C01327,BR07,Personal Loan,2026-01-04,36,6700,8.52,738,Good (670-739),0.15,,Retired,Scotland,0,Stage 1 (Performing),N,0.003,0.45,9,Unsecured
L00052,C01850,BR01,SME Term Loan,2025-10-09,36,120900,10.94,462,Poor (300-579),0.55,,Money Services,London,45,Stage 2 (Significant increase in risk),N,0.2841,0.45,54098,Unsecured
L00053,C02319,BR10,Mortgage,2025-04-03,300,283500,4.04,832,Excellent (740+),7.42,67.4,Employee,Northern Ireland,0,Stage 1 (Performing),N,0.0036,0.18,184,Property
L00054,C01573,BR10,SME Term Loan,2024-07-23,60,61300,9.47,642,Fair (580-669),0.05,,Professional Services,Northern Ireland,0,Stage 1 (Performing),N,0.0105,0.45,290,Unsecured
L00055,C02431,BR02,Credit Card,2025-05-30,60,4600,20.03,621,Fair (580-669),0.12,,Employee,London,0,Stage 1 (Performing),N,0.0203,0.78,73,Unsecured
L00056,C00313,BR01,Personal Loan,2026-01-03,60,13300,7.75,845,Excellent (740+),0.34,,Retired,London,0,Stage 1 (Performing),N,0.0005,0.45,3,Unsecured
L00057,C02699,BR01,Mortgage,2024-11-17,300,351300,5.44,673,Good (670-739),3.59,54.8,Employee,London,0,Stage 1 (Performing),N,0.0213,0.18,1347,Property
L00058,C01440,BR02,Mortgage,2025-02-12,300,160700,4.24,809,Excellent (740+),9.0,46.1,Retired,London,0,Stage 1 (Performing),N,0.0052,0.18,150,Property
L00059,C00446,BR08,Mortgage,2025-11-19,300,428100,6.99,498,Poor (300-579),2.12,48.3,Student,South West,0,Stage 1 (Performing),N,0.1939,0.18,14942,Property
L00060,C00892,BR06,Commercial Mortgage,2025-06-27,300,372000,3.49,859,Excellent (740+),5.04,60.2,Technology,Scotland,0,Stage 1 (Performing),N,0.0016,0.18,107,Property
L00061,C00923,BR07,Invoice Finance,2026-02-24,12,116100,8.78,716,Good (670-739),0.19,,Hospitality,Scotland,0,Stage 1 (Performing),N,0.0032,0.45,167,Receivables
L00062,C00533,BR02,Credit Card,2024-09-03,36,6100,19.45,702,Good (670-739),0.06,,Retired,London,0,Stage 1 (Performing),N,0.0052,0.78,25,Unsecured
L00063,C00088,BR01,Personal Loan,2024-06-22,12,7700,8.98,666,Fair (580-669),0.05,,Senior Public Official,London,0,Stage 1 (Performing),N,0.0095,0.45,33,Unsecured
L00064,C02891,BR01,SME Term Loan,2024-06-22,24,83900,9.9,618,Fair (580-669),0.05,,Professional Services,London,0,Stage 1 (Performing),N,0.0155,0.45,585,Unsecured
L00065,C01923,BR03,Credit Card,2026-05-29,24,4600,18.66,769,Excellent (740+),0.12,,Retired,North West,0,Stage 1 (Performing),N,0.0018,0.78,6,Unsecured
L00066,C00058,BR09,Mortgage,2024-12-15,300,352000,4.85,734,Good (670-739),5.15,86.0,Self-employed,Wales,0,Stage 1 (Performing),N,0.0134,0.18,849,Property
L00067,C02612,BR03,Mortgage,2025-08-04,300,120200,4.92,725,Good (670-739),3.48,37.9,Employee,North West,0,Stage 1 (Performing),N,0.0087,0.18,188,Property
L00068,C02135,BR01,Business Overdraft,2025-11-27,60,20300,10.42,521,Poor (300-579),0.09,,Money Services,London,150,Stage 3 (Credit-impaired),Y,0.1457,0.78,20763,Unsecured
L00069,C00896,BR05,Credit Card,2025-07-17,36,5400,19.81,618,Fair (580-669),0.07,,Employee,North East,0,Stage 1 (Performing),N,0.021,0.78,88,Unsecured
L00070,C01106,BR10,Mortgage,2024-07-09,300,276800,4.92,728,Good (670-739),8.03,55.3,Employee,Northern Ireland,0,Stage 1 (Performing),N,0.0198,0.18,987,Property
L00071,C00764,BR05,Credit Card,2026-02-25,12,2500,18.84,761,Excellent (740+),0.12,,Property Investor,North East,0,Stage 1 (Performing),N,0.002,0.78,4,Unsecured
L00072,C01978,BR02,Mortgage,2025-09-13,300,149500,5.0,712,Good (670-739),3.04,51.0,Employee,London,0,Stage 1 (Performing),N,0.0093,0.18,250,Property
L00073,C01375,BR02,Mortgage,2025-02-17,300,270800,5.26,687,Good (670-739),9.0,77.1,Employee,London,0,Stage 1 (Performing),N,0.0385,0.18,1877,Property
L00074,C02041,BR06,SME Term Loan,2024-11-04,24,61000,9.34,664,Fair (580-669),0.17,,Professional Services,Scotland,0,Stage 1 (Performing),N,0.0076,0.45,209,Unsecured
L00075,C02219,BR04,Mortgage,2025-03-27,300,247900,4.72,753,Excellent (740+),1.8,51.2,Self-employed,Midlands,0,Stage 1 (Performing),N,0.0031,0.18,138,Property
L00076,C01784,BR05,SME Term Loan,2024-08-12,24,145400,8.43,747,Excellent (740+),0.15,,Real Estate,North East,0,Stage 1 (Performing),N,0.0019,0.45,124,Unsecured
L00077,C00155,BR02,Personal Loan,2025-10-10,36,12300,9.08,690,Good (670-739),0.1,,Self-employed,London,0,Stage 1 (Performing),N,0.0065,0.45,36,Unsecured
L00078,C02166,BR04,Credit Card,2025-05-24,36,1200,20.79,580,Fair (580-669),0.05,,Employee,Midlands,0,Stage 1 (Performing),N,0.0386,0.78,36,Unsecured
L00079,C00806,BR10,Mortgage,2025-06-06,300,377800,3.84,880,Excellent (740+),9.0,67.7,Retired,Northern Ireland,0,Stage 1 (Performing),N,0.0016,0.18,109,Property
L00080,C02020,BR06,Mortgage,2024-09-03,300,374000,5.95,589,Fair (580-669),3.83,60.1,Retired,Scotland,75,Stage 2 (Significant increase in risk),N,0.0876,0.18,20640,Property
L00081,C02392,BR03,Mortgage,2025-06-13,300,421400,4.92,720,Good (670-739),8.2,92.1,Employee,North West,0,Stage 1 (Performing),N,0.0226,0.18,1714,Property
L00082,C02964,BR01,Commercial Mortgage,2024-06-27,300,626500,5.29,694,Good (670-739),1.17,68.4,Retail,London,0,Stage 1 (Performing),N,0.0065,0.18,733,Property
L00083,C00247,BR02,Invoice Finance,2024-10-15,12,28700,8.53,736,Good (670-739),0.07,,Money Services,London,0,Stage 1 (Performing),N,0.0022,0.45,28,Receivables
L00084,C00348,BR10,Mortgage,2024-09-23,300,421300,5.26,692,Good (670-739),9.0,85.8,Student,Northern Ireland,100,Stage 3 (Credit-impaired),Y,0.0356,0.18,24297,Property
L00085,C02754,BR01,Personal Loan,2025-06-03,60,14200,10.25,581,Fair (580-669),0.18,,Self-employed,London,0,Stage 1 (Performing),N,0.0397,0.45,254,Unsecured
L00086,C01195,BR10,Mortgage,2024-08-09,300,340300,6.63,559,Poor (300-579),7.12,64.0,Employee,Northern Ireland,45,Stage 2 (Significant increase in risk),N,0.2529,0.18,54219,Property
L00087,C00530,BR02,Business Overdraft,2024-07-02,36,23600,10.39,569,Poor (300-579),0.05,,Money Services,London,15,Stage 1 (Performing),N,0.0703,0.78,1294,Unsecured
L00088,C02043,BR01,Invoice Finance,2025-04-14,36,54600,8.89,700,Good (670-739),0.05,,Hospitality,London,0,Stage 1 (Performing),N,0.004,0.45,98,Receivables
L00089,C01112,BR02,SME Term Loan,2026-02-10,60,86800,9.05,653,Fair (580-669),0.13,,Construction,London,0,Stage 1 (Performing),N,0.009,0.45,352,Unsecured
L00090,C02956,BR01,Mortgage,2025-09-26,300,456800,5.36,661,Fair (580-669),7.31,49.6,Employee,London,0,Stage 1 (Performing),N,0.0582,0.18,4785,Property
L00091,C01686,BR04,SME Term Loan,2024-12-27,36,109100,11.8,449,Poor (300-579),0.07,,Import/Export,Midlands,75,Stage 2 (Significant increase in risk),N,0.2941,0.45,50536,Unsecured
L00092,C02932,BR06,Credit Card,2025-03-16,24,3700,19.99,594,Fair (580-669),0.24,,Employee,Scotland,0,Stage 1 (Performing),N,0.0328,0.78,95,Unsecured
L00093,C01777,BR05,Credit Card,2025-05-31,12,2300,19.68,656,Fair (580-669),0.05,,Property Investor,North East,15,Stage 1 (Performing),N,0.0112,0.78,20,Unsecured
L00094,C01036,BR10,Personal Loan,2024-04-05,60,15000,9.25,652,Fair (580-669),0.24,,Employee,Northern Ireland,0,Stage 1 (Performing),N,0.0128,0.45,86,Unsecured
L00095,C02193,BR02,Personal Loan,2025-10-21,60,12300,9.63,631,Fair (580-669),0.38,,Employee,London,0,Stage 1 (Performing),N,0.0189,0.45,105,Unsecured
L00096,C00686,BR03,Personal Loan,2025-02-13,24,13100,9.99,616,Fair (580-669),0.08,,Employee,North West,0,Stage 1 (Performing),N,0.0218,0.45,129,Unsecured
L00097,C00803,BR08,Credit Card,2024-11-29,36,6300,18.21,814,Excellent (740+),0.19,,Self-employed,South West,0,Stage 1 (Performing),N,0.0009,0.78,4,Unsecured
L00098,C00070,BR04,Business Overdraft,2025-11-29,36,35100,10.58,435,Poor (300-579),0.05,,Import/Export,Midlands,15,Stage 1 (Performing),N,0.4136,0.78,11324,Unsecured
L00099,C01254,BR02,Mortgage,2025-07-08,300,223900,5.03,704,Good (670-739),6.13,55.4,Employee,London,0,Stage 1 (Performing),N,0.0293,0.18,1181,Property
L00100,C02656,BR01,SME Term Loan,2024-11-03,36,106300,9.73,602,Fair (580-669),0.11,,Import/Export,London,0,Stage 1 (Performing),N,0.0319,0.45,1526,Unsecured
L00101,C01734,BR10,Mortgage,2026-05-08,300,232800,4.28,816,Excellent (740+),9.0,55.4,Employee,Northern Ireland,0,Stage 1 (Performing),N,0.0046,0.18,193,Property
L00102,C02627,BR02,SME Term Loan,2026-05-16,24,133200,8.48,742,Excellent (740+),0.26,,Technology,London,0,Stage 1 (Performing),N,0.0021,0.45,126,Unsecured
L00103,C02606,BR10,Credit Card,2026-02-26,60,5500,20.29,607,Fair (580-669),0.05,,Employee,Northern Ireland,0,Stage 1 (Performing),N,0.0249,0.78,107,Unsecured
L00104,C02203,BR02,Credit Card,2025-06-21,12,4300,19.11,728,Good (670-739),0.14,,Employee,London,0,Stage 1 (Performing),N,0.0035,0.78,12,Unsecured
L00105,C01702,BR03,Credit Card,2024-11-18,60,2800,18.85,758,Excellent (740+),0.05,,Employee,North West,0,Stage 1 (Performing),N,0.0021,0.78,5,Unsecured
L00106,C01391,BR04,Mortgage,2026-02-09,300,326400,4.54,771,Excellent (740+),9.0,55.3,Property Investor,Midlands,0,Stage 1 (Performing),N,0.0098,0.18,576,Property
L00107,C01507,BR03,SME Term Loan,2025-02-14,60,144500,10.18,600,Fair (580-669),0.59,,Real Estate,North West,0,Stage 1 (Performing),N,0.0388,0.45,2523,Unsecured
L00108,C00934,BR08,SME Term Loan,2025-02-15,24,59700,9.33,662,Fair (580-669),0.12,,Charity,South West,0,Stage 1 (Performing),N,0.0077,0.45,207,Unsecured
L00109,C02942,BR02,Commercial Mortgage,2024-04-11,300,507600,4.82,737,Good (670-739),2.0,91.9,Hospitality,London,0,Stage 1 (Performing),N,0.0043,0.18,393,Property
L00110,C01395,BR05,Mortgage,2026-03-18,300,187800,5.2,695,Good (670-739),9.0,42.3,Employee,North East,0,Stage 1 (Performing),N,0.0339,0.18,1146,Property
L00111,C01037,BR04,Mortgage,2024-08-30,300,83800,5.54,668,Fair (580-669),2.53,83.6,Retired,Midlands,0,Stage 1 (Performing),N,0.0161,0.18,243,Property
L00112,C02638,BR03,Mortgage,2025-04-26,300,218800,5.07,717,Good (670-739),5.19,97.9,Employee,North West,0,Stage 1 (Performing),N,0.018,0.18,709,Property
L00113,C00267,BR01,Invoice Finance,2024-09-23,36,93200,9.5,612,Fair (580-669),0.48,,Technology,London,0,Stage 1 (Performing),N,0.0199,0.45,835,Receivables
L00114,C01550,BR01,Commercial Mortgage,2026-04-13,300,306800,5.71,656,Fair (580-669),0.13,71.1,Technology,London,0,Stage 1 (Performing),N,0.0085,0.18,469,Property
L00115,C01623,BR05,SME Term Loan,2025-10-28,24,70200,9.41,653,Fair (580-669),0.06,,Import/Export,North East,0,Stage 1 (Performing),N,0.0088,0.45,278,Unsecured
L00116,C01172,BR01,Mortgage,2024-05-01,300,352200,3.77,894,Excellent (740+),8.11,84.0,Student,London,0,Stage 1 (Performing),N,0.0013,0.18,82,Property
L00117,C00372,BR05,Personal Loan,2026-02-15,36,7400,8.58,727,Good (670-739),0.29,,Self-employed,North East,0,Stage 1 (Performing),N,0.0038,0.45,13,Unsecured
L00118,C02679,BR04,Mortgage,2025-10-16,300,146000,4.99,710,Good (670-739),2.12,74.5,Employee,Midlands,0,Stage 1 (Performing),N,0.007,0.18,184,Property
L00119,C00440,BR02,Commercial Mortgage,2024-11-29,300,368400,6.17,532,Poor (300-579),0.37,52.6,Construction,London,0,Stage 1 (Performing),N,0.104,0.18,6896,Property
L00120,C00333,BR06,Mortgage,2024-11-08,300,294300,4.9,730,Good (670-739),5.98,37.4,Student,Scotland,0,Stage 1 (Performing),N,0.0191,0.18,1012,Property
L00121,C02031,BR02,Mortgage,2026-07-18,300,294900,5.55,619,Fair (580-669),6.23,80.4,Property Investor,London,0,Stage 1 (Performing),N,0.1107,0.18,5876,Property
L00122,C02239,BR02,Mortgage,2025-09-16,300,175600,4.81,739,Good (670-739),1.67,55.4,Employee,London,0,Stage 1 (Performing),N,0.0037,0.18,117,Property
L00123,C01219,BR02,Commercial Mortgage,2025-06-13,300,369700,6.28,584,Fair (580-669),0.81,70.4,Real Estate,London,0,Stage 1 (Performing),N,0.0538,0.18,3580,Property
L00124,C01362,BR06,Personal Loan,2025-10-03,36,12600,9.53,651,Fair (580-669),0.51,,Employee,Scotland,0,Stage 1 (Performing),N,0.0142,0.45,81,Unsecured
L00125,C00378,BR01,Mortgage,2025-09-12,300,186800,4.81,739,Good (670-739),2.83,81.0,Employee,London,0,Stage 1 (Performing),N,0.0055,0.18,185,Property
L00126,C02870,BR03,Personal Loan,2024-01-30,36,8200,9.06,690,Good (670-739),0.38,,Employee,North West,0,Stage 1 (Performing),N,0.0071,0.45,26,Unsecured
L00127,C01418,BR06,SME Term Loan,2025-09-25,36,58800,9.06,692,Good (670-739),0.05,,Technology,Scotland,0,Stage 1 (Performing),N,0.0046,0.45,122,Unsecured
L00128,C00903,BR07,Mortgage,2025-01-25,300,306000,5.31,683,Good (670-739),4.93,53.7,Employee,Scotland,0,Stage 1 (Performing),N,0.0286,0.18,1575,Property
L00129,C01722,BR02,Mortgage,2025-09-07,300,201400,4.76,745,Excellent (740+),2.26,56.4,Employee,London,0,Stage 1 (Performing),N,0.0041,0.18,149,Property
L00130,C02826,BR03,Mortgage,2025-12-02,300,803000,5.12,705,Good (670-739),8.5,68.7,Retired,North West,0,Stage 1 (Performing),N,0.0288,0.18,4163,Property
L00131,C02586,BR02,SME Term Loan,2025-12-21,60,127000,8.85,708,Good (670-739),0.69,,Construction,London,0,Stage 1 (Performing),N,0.0044,0.45,251,Unsecured
L00132,C02110,BR05,Mortgage,2025-03-29,300,158600,5.35,691,Good (670-739),2.01,52.0,Student,North East,0,Stage 1 (Performing),N,0.0092,0.18,263,Property
L00133,C02107,BR05,Business Overdraft,2024-08-17,36,25300,7.94,797,Excellent (740+),0.13,,Hospitality,North East,0,Stage 1 (Performing),N,0.0011,0.78,22,Unsecured
L00134,C00559,BR03,Personal Loan,2025-01-08,36,14100,8.81,697,Good (670-739),0.21,,Retired,North West,0,Stage 1 (Performing),N,0.006,0.45,38,Unsecured
L00135,C01076,BR08,Commercial Mortgage,2025-10-30,300,507200,4.46,796,Excellent (740+),0.18,80.7,Professional Services,South West,0,Stage 1 (Performing),N,0.0008,0.18,73,Property
L00136,C00967,BR01,Credit Card,2025-04-11,36,4900,19.19,723,Good (670-739),0.1,,Student,London,0,Stage 1 (Performing),N,0.0038,0.78,15,Unsecured
L00137,C01869,BR07,Credit Card,2025-06-21,24,5000,19.41,702,Good (670-739),0.06,,Employee,Scotland,0,Stage 1 (Performing),N,0.0052,0.78,20,Unsecured
L00138,C01700,BR08,Mortgage,2024-06-09,300,208900,5.67,632,Fair (580-669),2.44,68.0,Employee,South West,100,Stage 3 (Credit-impaired),Y,0.028,0.18,9476,Property
L00139,C01043,BR10,Invoice Finance,2026-06-20,36,81100,8.89,690,Good (670-739),1.07,,Hospitality,Northern Ireland,0,Stage 1 (Performing),N,0.0067,0.45,245,Receivables
L00140,C01523,BR08,SME Term Loan,2025-07-01,60,255900,9.28,670,Good (670-739),0.13,,Real Estate,South West,0,Stage 1 (Performing),N,0.0068,0.45,783,Unsecured
L00141,C02234,BR07,Mortgage,2026-07-30,300,182300,5.06,708,Good (670-739),1.93,68.2,Student,Scotland,0,Stage 1 (Performing),N,0.0068,0.18,223,Property
L00142,C02532,BR08,Personal Loan,2025-09-20,24,10200,8.54,734,Good (670-739),0.11,,Self-employed,South West,0,Stage 1 (Performing),N,0.0031,0.45,14,Unsecured
L00143,C00825,BR01,Mortgage,2025-01-12,300,305400,5.06,714,Good (670-739),9.0,72.3,Employee,London,0,Stage 1 (Performing),N,0.0249,0.18,1369,Property
L00144,C02715,BR05,Credit Card,2024-12-07,24,7100,20.92,579,Poor (300-579),0.07,,Employee,North East,15,Stage 1 (Performing),N,0.0395,0.78,219,Unsecured
L00145,C02127,BR03,SME Term Loan,2025-05-21,12,138400,10.25,560,Poor (300-579),0.56,,Hospitality,North West,75,Stage 2 (Significant increase in risk),N,0.0472,0.45,10289,Unsecured
L00146,C00176,BR09,Credit Card,2025-07-22,24,7000,19.32,690,Good (670-739),0.21,,Employee,Wales,0,Stage 1 (Performing),N,0.0067,0.78,37,Unsecured
L00147,C02615,BR09,SME Term Loan,2024-09-20,36,93800,9.67,578,Poor (300-579),0.12,,Money Services,Wales,45,Stage 2 (Significant increase in risk),N,0.0471,0.45,6958,Unsecured
L00148,C00411,BR07,Mortgage,2024-09-20,300,200300,4.21,814,Excellent (740+),3.6,81.3,Employee,Scotland,0,Stage 1 (Performing),N,0.0021,0.18,76,Property
L00149,C01071,BR07,Credit Card,2026-09-29,36,5400,17.7,849,Excellent (740+),0.13,,Self-employed,Scotland,0,Stage 1 (Performing),N,0.0005,0.78,2,Unsecured
L00150,C00210,BR06,Mortgage,2026-02-24,300,300500,4.63,764,Excellent (740+),4.6,61.4,Employee,Scotland,0,Stage 1 (Performing),N,0.0068,0.18,368,Property
L00151,C00399,BR04,Mortgage,2024-12-24,300,470300,4.71,751,Excellent (740+),6.67,38.4,Employee,Midlands,0,Stage 1 (Performing),N,0.0136,0.18,1151,Property
L00152,C00237,BR01,Mortgage,2026-02-15,300,446900,4.76,746,Excellent (740+),3.06,44.6,Employee,London,0,Stage 1 (Performing),N,0.0053,0.18,426,Property
