bdd_id,customer_id,company_reg_number,incorporation_country,legal_structure,industry,sector_risk,cash_intensive,years_trading,ownership_layers,ubo_count,ubo_identified,ubo_verified,complex_structure_flag,companies_house_check,directors_screened,financial_statements_reviewed,expected_monthly_turnover_gbp,website_and_trading_address_verified,shell_company_indicators,bdd_outcome
BDD0066,C00227,13196290,United Kingdom,LLP,Real Estate,High,N,23,2,4,Y,N,N,Match,Y,Y,76500,N,N,Satisfactory
BDD0067,C00231,10611247,United Kingdom,Private Limited,Money Services,High,Y,16,2,1,Y,Y,N,Match,Y,Y,105800,Y,N,Satisfactory
BDD0068,C00234,15540665,India,Trust,Professional Services,Standard,N,37,3,1,N,N,Y,N/A (non-UK),Y,Y,11600,Y,N,Referred to EDD
BDD0069,C00238,11288693,France,Private Limited,Retail,Standard,Y,39,2,4,Y,N,N,N/A (non-UK),Y,Y,37800,Y,N,Satisfactory
BDD0070,C00240,15734023,Ireland,Private Limited,Professional Services,Standard,N,38,1,3,Y,Y,N,N/A (non-UK),Y,Y,84800,N,N,Satisfactory
BDD0071,C00242,13970496,India,Private Limited,Retail,Standard,Y,19,1,2,Y,Y,N,N/A (non-UK),Y,N,200200,Y,N,Satisfactory
BDD0072,C00243,14382109,United Kingdom,Private Limited,Construction,Standard,N,33,1,1,Y,Y,N,Match,Y,Y,51200,Y,N,Satisfactory
BDD0073,C00245,10715706,United Kingdom,Private Limited,Hospitality,Standard,Y,2,3,1,Y,Y,Y,Match,Y,Y,75500,Y,N,Satisfactory
BDD0074,C00246,11450680,United Kingdom,Partnership,Retail,Standard,Y,29,1,2,Y,Y,N,Discrepancy,Y,Y,27400,Y,N,Remediation Required
BDD0075,C00247,10028085,Germany,Private Limited,Money Services,High,Y,32,4,4,Y,Y,Y,N/A (non-UK),Y,Y,26100,Y,N,Satisfactory
BDD0076,C00257,12764631,United Kingdom,Private Limited,Construction,Standard,N,0,1,4,Y,Y,N,Match,Y,Y,31400,Y,N,Satisfactory
BDD0077,C00258,11717134,United Kingdom,Private Limited,Money Services,High,Y,31,2,3,Y,Y,N,Match,Y,Y,369200,Y,N,Satisfactory
BDD0078,C00261,10588681,United Kingdom,Partnership,Professional Services,Standard,N,35,1,3,Y,Y,N,Match,Y,Y,215800,Y,N,Satisfactory
BDD0079,C00267,11884599,Cyprus,LLP,Technology,Standard,N,8,1,2,Y,Y,Y,N/A (non-UK),Y,Y,19400,Y,N,Satisfactory
BDD0080,C00270,13422610,United Kingdom,Private Limited,Construction,Standard,N,36,2,3,Y,Y,N,Match,Y,Y,73200,N,N,Satisfactory
BDD0081,C00271,13242937,United Kingdom,Private Limited,Retail,Standard,Y,7,3,4,Y,Y,Y,Match,Y,Y,34800,Y,N,Satisfactory
BDD0082,C00277,13843959,United Kingdom,PLC,Professional Services,Standard,N,37,1,2,Y,Y,N,Match,Y,Y,74700,Y,N,Satisfactory
BDD0083,C00280,14997297,United Kingdom,LLP,Technology,Standard,N,37,2,3,Y,Y,N,Match,Y,Y,22700,Y,N,Satisfactory
BDD0084,C00282,12385229,United Kingdom,Private Limited,Professional Services,Standard,N,19,1,4,Y,Y,N,Match,Y,Y,24800,Y,N,Satisfactory
BDD0085,C00283,15285305,Ireland,Private Limited,Hospitality,Standard,Y,39,2,1,Y,Y,N,N/A (non-UK),Y,Y,75700,Y,N,Satisfactory
BDD0086,C00286,11312208,France,Private Limited,Real Estate,High,N,21,2,2,Y,Y,N,N/A (non-UK),Y,Y,27200,Y,N,Satisfactory
BDD0087,C00287,13113660,Panama,Private Limited,Professional Services,Standard,N,28,3,3,Y,Y,Y,N/A (non-UK),Y,Y,142600,Y,N,Satisfactory
BDD0088,C00288,15923422,India,Private Limited,Professional Services,Standard,N,18,3,2,Y,Y,Y,N/A (non-UK),Y,N,197500,Y,Y,Referred to EDD
BDD0089,C00290,10063618,United Kingdom,Private Limited,Professional Services,Standard,N,6,4,1,Y,N,Y,Match,Y,Y,58200,Y,N,Satisfactory
BDD0090,C00297,10237747,United Kingdom,Private Limited,Precious Metals,High,Y,12,4,1,Y,Y,Y,Match,Y,Y,59900,Y,N,Satisfactory
BDD0091,C00302,13264481,United Kingdom,PLC,Money Services,High,Y,7,1,4,Y,Y,N,Match,Y,Y,145200,Y,N,Satisfactory
BDD0092,C00303,14388771,United Kingdom,Private Limited,Money Services,High,Y,7,4,2,Y,Y,Y,Match,Y,Y,83300,Y,N,Satisfactory
BDD0093,C00305,10802513,United Kingdom,Partnership,Real Estate,High,N,26,2,4,Y,N,N,Match,Y,Y,313200,N,N,Satisfactory
BDD0094,C00306,14125063,United Kingdom,LLP,Professional Services,Standard,N,2,1,4,Y,Y,N,Discrepancy,Y,N,18800,Y,N,Remediation Required
BDD0095,C00308,10218551,United Kingdom,Trust,Retail,Standard,Y,3,4,3,Y,Y,Y,Match,Y,Y,7400,Y,N,Satisfactory
BDD0096,C00310,13364352,United Kingdom,Foundation,Retail,Standard,Y,37,1,2,Y,Y,N,Match,Y,Y,116200,Y,N,Satisfactory
BDD0097,C00314,11217321,Ireland,LLP,Professional Services,Standard,N,7,1,2,Y,Y,N,N/A (non-UK),Y,Y,35300,Y,N,Satisfactory
BDD0098,C00318,11122533,United Kingdom,LLP,Money Services,High,Y,23,2,2,Y,Y,N,Match,Y,Y,66600,Y,N,Satisfactory
BDD0099,C00320,15884215,United Kingdom,Private Limited,Professional Services,Standard,N,0,2,2,Y,Y,N,Match,Y,Y,87800,Y,N,Satisfactory
BDD0100,C00326,15124820,United Kingdom,Trust,Professional Services,Standard,N,29,2,2,Y,Y,N,Match,Y,Y,39000,Y,N,Satisfactory
BDD0101,C00328,12116304,United Kingdom,Partnership,Money Services,High,Y,21,2,2,Y,N,N,Match,Y,Y,26500,Y,N,Satisfactory
BDD0102,C00330,13662245,Cyprus,Private Limited,Professional Services,Standard,N,0,4,2,Y,Y,Y,N/A (non-UK),Y,Y,24200,Y,N,Satisfactory
BDD0103,C00331,15883191,Hong Kong,Private Limited,Technology,Standard,N,24,2,2,Y,Y,Y,N/A (non-UK),Y,Y,618100,Y,N,Satisfactory
BDD0104,C00332,14068578,United Kingdom,PLC,Import/Export,High,N,6,3,3,Y,Y,Y,Match,Y,Y,500700,Y,N,Satisfactory
BDD0105,C00334,14354865,United Kingdom,Private Limited,Retail,Standard,Y,38,2,3,Y,Y,N,Match,Y,Y,83700,Y,N,Satisfactory
BDD0106,C00339,14253643,United Kingdom,Partnership,Technology,Standard,N,20,2,4,Y,Y,N,Match,Y,N,10900,Y,N,Satisfactory
BDD0107,C00341,13046455,United Kingdom,Trust,Technology,Standard,N,3,2,1,Y,Y,N,Discrepancy,Y,Y,47700,Y,N,Remediation Required
BDD0108,C00343,10721774,United Kingdom,Private Limited,Import/Export,High,N,19,4,4,Y,Y,Y,Match,Y,Y,46100,N,Y,Rejected
BDD0109,C00346,10144610,United Kingdom,Private Limited,Professional Services,Standard,N,36,1,4,Y,Y,N,Match,Y,N,84800,Y,N,Satisfactory
BDD0110,C00347,12797915,United Kingdom,Trust,Professional Services,Standard,N,31,1,4,Y,Y,N,Match,Y,Y,201000,Y,N,Satisfactory
BDD0111,C00352,13483946,India,Private Limited,Real Estate,High,N,12,3,4,Y,Y,Y,N/A (non-UK),Y,N,407900,Y,N,Satisfactory
BDD0112,C00353,14736591,Nigeria,Private Limited,Import/Export,High,N,20,2,3,Y,Y,N,N/A (non-UK),Y,Y,65500,N,N,Satisfactory
BDD0113,C00357,10194342,United Kingdom,Partnership,Money Services,High,Y,35,1,2,Y,Y,N,Match,Y,Y,71800,Y,N,Satisfactory
BDD0114,C00359,12387158,India,Private Limited,Professional Services,Standard,N,15,2,4,Y,Y,N,N/A (non-UK),Y,N,69800,Y,N,Satisfactory
BDD0115,C00363,12160128,Ireland,Private Limited,Hospitality,Standard,Y,27,1,4,Y,Y,N,N/A (non-UK),Y,Y,66100,Y,N,Satisfactory
BDD0116,C00368,14388478,United Kingdom,Foundation,Real Estate,High,N,18,2,2,Y,Y,N,Match,Y,Y,363200,Y,N,Satisfactory
BDD0117,C00391,13366316,India,Trust,Retail,Standard,Y,13,1,2,Y,Y,N,N/A (non-UK),Y,Y,84700,Y,N,Satisfactory
BDD0118,C00395,12254738,United States,LLP,Real Estate,High,N,5,1,1,Y,Y,N,N/A (non-UK),Y,Y,47000,Y,N,Satisfactory
BDD0119,C00401,14328413,United Kingdom,Private Limited,Hospitality,Standard,Y,35,2,3,Y,Y,N,Match,Y,Y,15900,Y,N,Satisfactory
BDD0120,C00402,14821550,United Kingdom,Private Limited,Import/Export,High,N,21,1,4,Y,N,N,Match,Y,Y,17100,Y,N,Satisfactory
BDD0121,C00403,13778447,United Kingdom,Private Limited,Retail,Standard,Y,23,1,4,Y,Y,N,Discrepancy,Y,Y,105700,N,N,Remediation Required
BDD0122,C00406,15073653,United Kingdom,LLP,Hospitality,Standard,Y,1,1,4,Y,Y,N,Match,Y,Y,726600,Y,N,Satisfactory
BDD0123,C00408,13235068,United Kingdom,PLC,Professional Services,Standard,N,26,1,4,Y,Y,N,Match,Y,Y,104600,Y,N,Satisfactory
BDD0124,C00412,15002056,United Kingdom,LLP,Construction,Standard,N,8,1,2,Y,Y,N,Match,Y,Y,37500,Y,N,Satisfactory
BDD0125,C00418,14397332,United Kingdom,LLP,Charity,Standard,N,35,2,4,Y,Y,N,Match,Y,Y,22500,Y,N,Satisfactory
BDD0126,C00420,13918692,United Kingdom,Private Limited,Money Services,High,Y,26,2,1,Y,Y,N,Match,Y,Y,85400,Y,N,Satisfactory
BDD0127,C00421,12913441,United Kingdom,Private Limited,Retail,Standard,Y,18,4,3,N,N,Y,Match,Y,Y,21000,N,N,Rejected
BDD0128,C00427,13026233,Hong Kong,Foundation,Retail,Standard,Y,15,1,2,Y,N,Y,N/A (non-UK),Y,Y,339900,Y,N,Satisfactory
BDD0129,C00428,14059456,United Kingdom,Trust,Charity,Standard,N,4,1,2,Y,Y,N,Match,Y,Y,46500,N,N,Satisfactory
BDD0130,C00429,15127652,India,LLP,Real Estate,High,N,28,4,2,N,N,Y,N/A (non-UK),Y,Y,66100,Y,N,Referred to EDD
BDD0131,C00432,14336499,United Kingdom,Partnership,Technology,Standard,N,3,1,4,Y,Y,N,Match,Y,N,21500,Y,N,Satisfactory
BDD0132,C00440,12275823,Nigeria,LLP,Construction,Standard,N,38,2,4,Y,Y,N,N/A (non-UK),Y,Y,98000,Y,N,Satisfactory
BDD0133,C00441,10265352,UAE,LLP,Hospitality,Standard,Y,12,3,3,Y,Y,Y,N/A (non-UK),Y,N,136900,Y,N,Satisfactory
BDD0134,C00443,15773750,United Kingdom,PLC,Professional Services,Standard,N,36,2,2,Y,Y,N,Match,Y,N,52000,Y,N,Satisfactory
BDD0135,C00444,11531047,Pakistan,Private Limited,Construction,Standard,N,34,3,3,Y,Y,Y,N/A (non-UK),Y,Y,38200,Y,N,Satisfactory
BDD0136,C00449,14986405,United Kingdom,Foundation,Retail,Standard,Y,18,1,2,Y,Y,N,Match,Y,N,186100,Y,N,Satisfactory
BDD0137,C00454,10596629,United Kingdom,Private Limited,Professional Services,Standard,N,38,1,2,Y,Y,N,Match,Y,Y,17200,Y,N,Satisfactory
BDD0138,C00463,11613134,United Kingdom,Private Limited,Import/Export,High,N,27,1,1,Y,Y,N,Match,Y,Y,78800,Y,N,Satisfactory
BDD0139,C00467,10152677,Russia,Private Limited,Construction,Standard,N,22,2,2,Y,Y,N,N/A (non-UK),Y,Y,14500,Y,N,Satisfactory
BDD0140,C00472,12254681,United Kingdom,LLP,Crypto Assets,High,N,9,2,3,Y,Y,N,Match,Y,Y,13200,N,N,Satisfactory
BDD0141,C00474,10549259,United Kingdom,LLP,Technology,Standard,N,22,2,3,Y,Y,N,Match,Y,Y,80200,Y,N,Satisfactory
BDD0142,C00475,15375642,United States,Private Limited,Money Services,High,Y,24,1,3,Y,Y,N,N/A (non-UK),Y,N,90500,Y,N,Satisfactory
BDD0143,C00477,12448506,United Kingdom,Private Limited,Import/Export,High,N,9,2,4,Y,Y,N,Match,Y,Y,20100,Y,N,Satisfactory
BDD0144,C00479,11515619,United Kingdom,LLP,Retail,Standard,Y,22,4,1,Y,Y,Y,Match,Y,Y,100900,Y,Y,Referred to EDD
BDD0145,C00485,11850383,United States,PLC,Real Estate,High,N,35,2,4,Y,Y,N,N/A (non-UK),Y,Y,155200,Y,N,Satisfactory
BDD0146,C00491,10492806,Hong Kong,Private Limited,Hospitality,Standard,Y,19,3,2,N,N,Y,N/A (non-UK),Y,Y,99200,Y,N,Rejected
BDD0147,C00497,11228651,United Kingdom,Private Limited,Retail,Standard,Y,15,3,2,Y,Y,Y,Match,Y,Y,22500,Y,N,Satisfactory
BDD0148,C00499,10469933,United Kingdom,Private Limited,Hospitality,Standard,Y,24,1,2,Y,Y,N,Match,Y,N,81500,Y,N,Satisfactory
BDD0149,C00502,10025582,UAE,LLP,Retail,Standard,Y,19,1,4,Y,Y,Y,N/A (non-UK),Y,Y,76600,N,N,Satisfactory
BDD0150,C00503,15198953,United Kingdom,Private Limited,Construction,Standard,N,26,2,3,Y,Y,N,Discrepancy,Y,N,49300,Y,N,Remediation Required
BDD0151,C00504,14091684,United Kingdom,Trust,Import/Export,High,N,38,3,1,N,N,Y,Match,Y,Y,70300,Y,N,Referred to EDD
BDD0152,C00505,12226640,United Kingdom,Private Limited,Charity,Standard,N,29,4,1,Y,Y,Y,Match,Y,Y,293200,Y,N,Satisfactory
BDD0153,C00506,11510921,United Kingdom,Private Limited,Technology,Standard,N,31,3,3,Y,Y,Y,Match,Y,Y,16100,Y,N,Satisfactory
BDD0154,C00507,11267071,United Kingdom,Private Limited,Hospitality,Standard,Y,8,4,3,Y,Y,Y,Match,Y,Y,94800,Y,N,Satisfactory
BDD0155,C00509,12225714,United Kingdom,Private Limited,Retail,Standard,Y,30,4,2,Y,Y,Y,Match,Y,Y,30200,Y,N,Satisfactory
BDD0156,C00513,11603044,Cyprus,Private Limited,Charity,Standard,N,2,4,2,Y,Y,Y,N/A (non-UK),Y,Y,62300,Y,N,Satisfactory
BDD0157,C00514,14858750,United Kingdom,LLP,Professional Services,Standard,N,18,2,3,Y,Y,N,Match,Y,Y,43300,Y,N,Satisfactory
BDD0158,C00516,13556421,Germany,Private Limited,Real Estate,High,N,7,3,4,Y,Y,Y,N/A (non-UK),Y,N,9000,Y,N,Satisfactory
BDD0159,C00517,10519057,United Kingdom,Private Limited,Technology,Standard,N,5,4,4,Y,Y,Y,Match,Y,Y,343100,Y,N,Satisfactory
BDD0160,C00521,12513016,United Kingdom,Private Limited,Import/Export,High,N,38,1,4,Y,Y,N,Match,Y,Y,138300,Y,N,Satisfactory
BDD0161,C00523,10862383,Panama,Private Limited,Professional Services,Standard,N,13,2,1,N,N,Y,N/A (non-UK),Y,Y,15300,Y,Y,Referred to EDD
BDD0162,C00525,10855151,Hong Kong,Private Limited,Import/Export,High,N,21,2,3,Y,Y,Y,N/A (non-UK),Y,Y,92200,Y,N,Satisfactory
BDD0163,C00527,13827335,UAE,Trust,Professional Services,Standard,N,17,1,2,N,N,Y,N/A (non-UK),Y,Y,173700,Y,N,Referred to EDD
BDD0164,C00530,12950868,Ireland,Private Limited,Money Services,High,Y,28,2,2,Y,Y,N,N/A (non-UK),Y,Y,133800,Y,N,Satisfactory
BDD0165,C00531,11121790,India,Private Limited,Technology,Standard,N,31,2,4,Y,Y,N,N/A (non-UK),Y,Y,126900,Y,N,Satisfactory
BDD0166,C00532,13921758,India,LLP,Precious Metals,High,Y,1,3,2,Y,Y,Y,N/A (non-UK),Y,Y,33200,Y,N,Satisfactory
BDD0167,C00538,12678086,UAE,LLP,Professional Services,Standard,N,30,1,3,Y,Y,Y,N/A (non-UK),Y,Y,39100,N,N,Satisfactory
BDD0168,C00539,12368587,India,Private Limited,Money Services,High,Y,26,4,1,Y,Y,Y,N/A (non-UK),Y,Y,30500,Y,Y,Referred to EDD
BDD0169,C00540,10153551,Germany,Private Limited,Technology,Standard,N,36,4,3,N,N,Y,N/A (non-UK),Y,Y,23300,Y,N,Rejected
BDD0170,C00541,13701031,United Kingdom,Private Limited,Precious Metals,High,Y,3,2,2,Y,Y,N,Match,Y,Y,13600,Y,N,Satisfactory
BDD0171,C00542,11655992,United Kingdom,Foundation,Retail,Standard,Y,2,2,1,Y,Y,N,Discrepancy,Y,Y,353700,Y,N,Remediation Required
BDD0172,C00546,14212806,United Kingdom,Trust,Charity,Standard,N,9,1,1,Y,Y,N,Match,Y,Y,193400,N,N,Satisfactory
BDD0173,C00552,11978900,Ireland,Foundation,Construction,Standard,N,17,3,2,Y,Y,Y,N/A (non-UK),Y,Y,21800,N,Y,Rejected
BDD0174,C00555,13903269,United Kingdom,Private Limited,Construction,Standard,N,27,2,3,Y,Y,N,Match,Y,Y,609500,Y,N,Satisfactory
BDD0175,C00557,13746845,United Kingdom,LLP,Construction,Standard,N,33,2,4,Y,Y,N,Match,Y,Y,134000,N,N,Satisfactory
BDD0176,C00562,10854535,United Kingdom,Private Limited,Crypto Assets,High,N,27,4,4,Y,Y,Y,Match,Y,Y,104800,Y,N,Satisfactory
BDD0177,C00566,10555520,United Kingdom,PLC,Retail,Standard,Y,18,2,4,Y,Y,N,Match,Y,Y,664700,Y,N,Satisfactory
BDD0178,C00567,12618096,United Kingdom,Private Limited,Professional Services,Standard,N,5,2,1,Y,Y,N,Match,Y,Y,115000,Y,N,Satisfactory
BDD0179,C00568,11644500,Hong Kong,Private Limited,Retail,Standard,Y,9,1,4,N,N,Y,N/A (non-UK),Y,Y,16600,Y,N,Rejected
