month,branch_id,department,cost_category,budget_gbp,actual_gbp,variance_gbp
2024-02-01,BR01,KYC & Onboarding,Premises,20410,22100,1690
2024-02-01,BR01,KYC & Onboarding,Outsourcing,11910,11750,-160
2024-02-01,BR01,KYC & Onboarding,Training,3400,3360,-40
2024-02-01,BR01,KYC & Onboarding,Other,5100,5250,150
2024-02-01,BR01,AML & Financial Crime,Staff,103950,111890,7940
2024-02-01,BR01,AML & Financial Crime,Technology & Systems,28350,28250,-100
2024-02-01,BR01,AML & Financial Crime,Screening & Data Vendors,11340,11020,-320
2024-02-01,BR01,AML & Financial Crime,Premises,22680,22370,-310
2024-02-01,BR01,AML & Financial Crime,Outsourcing,13230,13860,630
2024-02-01,BR01,AML & Financial Crime,Training,3780,3570,-210
2024-02-01,BR01,AML & Financial Crime,Other,5670,5830,160
2024-02-01,BR01,Payments Ops,Staff,72760,71110,-1650
2024-02-01,BR01,Payments Ops,Technology & Systems,19840,21710,1870
2024-02-01,BR01,Payments Ops,Screening & Data Vendors,7940,7470,-470
2024-02-01,BR01,Payments Ops,Premises,15880,15220,-660
2024-02-01,BR01,Payments Ops,Outsourcing,9260,8440,-820
2024-02-01,BR01,Payments Ops,Training,2650,2790,140
2024-02-01,BR01,Payments Ops,Other,3970,3820,-150
2024-02-01,BR01,IT & Technology,Staff,124740,138840,14100
2024-02-01,BR01,IT & Technology,Technology & Systems,34020,34800,780
2024-02-01,BR01,IT & Technology,Screening & Data Vendors,13610,12480,-1130
2024-02-01,BR01,IT & Technology,Premises,27220,26870,-350
2024-02-01,BR01,IT & Technology,Outsourcing,15880,15680,-200
2024-02-01,BR01,IT & Technology,Training,4540,4190,-350
2024-02-01,BR01,IT & Technology,Other,6800,7270,470
2024-02-01,BR01,Compliance,Staff,62370,61450,-920
2024-02-01,BR01,Compliance,Technology & Systems,17010,18320,1310
2024-02-01,BR01,Compliance,Screening & Data Vendors,6800,6200,-600
2024-02-01,BR01,Compliance,Premises,13610,13920,310
2024-02-01,BR01,Compliance,Outsourcing,7940,8210,270
2024-02-01,BR01,Compliance,Training,2270,2170,-100
2024-02-01,BR01,Compliance,Other,3400,3480,80
2024-03-01,BR01,Retail Banking Ops,Staff,207900,213250,5350
2024-03-01,BR01,Retail Banking Ops,Technology & Systems,56700,54910,-1790
2024-03-01,BR01,Retail Banking Ops,Screening & Data Vendors,22680,22110,-570
2024-03-01,BR01,Retail Banking Ops,Premises,45360,44360,-1000
2024-03-01,BR01,Retail Banking Ops,Outsourcing,26460,26870,410
2024-03-01,BR01,Retail Banking Ops,Training,7560,7490,-70
2024-03-01,BR01,Retail Banking Ops,Other,11340,12480,1140
2024-03-01,BR01,KYC & Onboarding,Staff,93560,89590,-3970
2024-03-01,BR01,KYC & Onboarding,Technology & Systems,25520,25100,-420
2024-03-01,BR01,KYC & Onboarding,Screening & Data Vendors,10210,9810,-400
2024-03-01,BR01,KYC & Onboarding,Premises,20410,20910,500
2024-03-01,BR01,KYC & Onboarding,Outsourcing,11910,12950,1040
2024-03-01,BR01,KYC & Onboarding,Training,3400,3650,250
2024-03-01,BR01,KYC & Onboarding,Other,5100,5290,190
2024-03-01,BR01,AML & Financial Crime,Staff,103950,105480,1530
2024-03-01,BR01,AML & Financial Crime,Technology & Systems,28350,28920,570
2024-03-01,BR01,AML & Financial Crime,Screening & Data Vendors,11340,12500,1160
2024-03-01,BR01,AML & Financial Crime,Premises,22680,24390,1710
2024-03-01,BR01,AML & Financial Crime,Outsourcing,13230,12630,-600
2024-03-01,BR01,AML & Financial Crime,Training,3780,4000,220
2024-03-01,BR01,AML & Financial Crime,Other,5670,5800,130
2024-03-01,BR01,Payments Ops,Staff,72760,67590,-5170
2024-03-01,BR01,Payments Ops,Technology & Systems,19840,19720,-120
2024-03-01,BR01,Payments Ops,Screening & Data Vendors,7940,8430,490
2024-03-01,BR01,Payments Ops,Premises,15880,16280,400
2024-03-01,BR01,Payments Ops,Outsourcing,9260,8790,-470
2024-03-01,BR01,Payments Ops,Training,2650,2800,150
2024-03-01,BR01,Payments Ops,Other,3970,4060,90
2024-03-01,BR01,IT & Technology,Staff,124740,129990,5250
2024-03-01,BR01,IT & Technology,Technology & Systems,34020,31820,-2200
2024-03-01,BR01,IT & Technology,Screening & Data Vendors,13610,12990,-620
2024-03-01,BR01,IT & Technology,Premises,27220,28300,1080
2024-03-01,BR01,IT & Technology,Outsourcing,15880,16060,180
2024-03-01,BR01,IT & Technology,Training,4540,4750,210
2024-03-01,BR01,IT & Technology,Other,6800,6920,120
2024-03-01,BR01,Compliance,Staff,62370,65350,2980
2024-03-01,BR01,Compliance,Technology & Systems,17010,15050,-1960
2024-03-01,BR01,Compliance,Screening & Data Vendors,6800,6650,-150
2024-03-01,BR01,Compliance,Premises,13610,13690,80
2024-03-01,BR01,Compliance,Outsourcing,7940,8510,570
2024-03-01,BR01,Compliance,Training,2270,2250,-20
2024-03-01,BR01,Compliance,Other,3400,3470,70
2024-04-01,BR01,Retail Banking Ops,Staff,207900,219830,11930
2024-04-01,BR01,Retail Banking Ops,Technology & Systems,56700,54320,-2380
2024-04-01,BR01,Retail Banking Ops,Screening & Data Vendors,22680,22600,-80
2024-04-01,BR01,Retail Banking Ops,Premises,45360,44670,-690
2024-04-01,BR01,Retail Banking Ops,Outsourcing,26460,26240,-220
2024-04-01,BR01,Retail Banking Ops,Training,7560,7240,-320
2024-04-01,BR01,Retail Banking Ops,Other,11340,10960,-380
2024-04-01,BR01,KYC & Onboarding,Staff,93560,103380,9820
2024-04-01,BR01,KYC & Onboarding,Technology & Systems,25520,25710,190
2024-04-01,BR01,KYC & Onboarding,Screening & Data Vendors,10210,9680,-530
2024-04-01,BR01,KYC & Onboarding,Premises,20410,21100,690
2024-04-01,BR01,KYC & Onboarding,Outsourcing,11910,12020,110
2024-04-01,BR01,KYC & Onboarding,Training,3400,3620,220
2024-04-01,BR01,KYC & Onboarding,Other,5100,5650,550
2024-04-01,BR01,AML & Financial Crime,Staff,103950,113470,9520
2024-04-01,BR01,AML & Financial Crime,Technology & Systems,28350,30660,2310
2024-04-01,BR01,AML & Financial Crime,Screening & Data Vendors,11340,11540,200
2024-04-01,BR01,AML & Financial Crime,Premises,22680,25820,3140
2024-04-01,BR01,AML & Financial Crime,Outsourcing,13230,13800,570
2024-04-01,BR01,AML & Financial Crime,Training,3780,3910,130
2024-04-01,BR01,AML & Financial Crime,Other,5670,5920,250
2024-04-01,BR01,Payments Ops,Staff,72760,74930,2170
2024-04-01,BR01,Payments Ops,Technology & Systems,19840,20040,200
2024-04-01,BR01,Payments Ops,Screening & Data Vendors,7940,8010,70
2024-04-01,BR01,Payments Ops,Premises,15880,15830,-50
2024-04-01,BR01,Payments Ops,Outsourcing,9260,8810,-450
2024-04-01,BR01,Payments Ops,Training,2650,2540,-110
2024-04-01,BR01,Payments Ops,Other,3970,3990,20
2024-04-01,BR01,IT & Technology,Staff,124740,134460,9720
2024-04-01,BR01,IT & Technology,Technology & Systems,34020,32560,-1460
2024-04-01,BR01,IT & Technology,Screening & Data Vendors,13610,15240,1630
2024-04-01,BR01,IT & Technology,Premises,27220,26290,-930
2024-04-01,BR01,IT & Technology,Outsourcing,15880,17060,1180
2024-04-01,BR01,IT & Technology,Training,4540,4700,160
2024-04-01,BR01,IT & Technology,Other,6800,6640,-160
2024-04-01,BR01,Compliance,Staff,62370,60340,-2030
2024-04-01,BR01,Compliance,Technology & Systems,17010,17680,670
2024-04-01,BR01,Compliance,Screening & Data Vendors,6800,7060,260
2024-04-01,BR01,Compliance,Premises,13610,15010,1400
2024-04-01,BR01,Compliance,Outsourcing,7940,8620,680
2024-04-01,BR01,Compliance,Training,2270,2380,110
2024-04-01,BR01,Compliance,Other,3400,3520,120
2024-05-01,BR01,Retail Banking Ops,Staff,207900,212480,4580
2024-05-01,BR01,Retail Banking Ops,Technology & Systems,56700,53590,-3110
2024-05-01,BR01,Retail Banking Ops,Screening & Data Vendors,22680,21320,-1360
2024-05-01,BR01,Retail Banking Ops,Premises,45360,47270,1910
2024-05-01,BR01,Retail Banking Ops,Outsourcing,26460,28860,2400
2024-05-01,BR01,Retail Banking Ops,Training,7560,7750,190
2024-05-01,BR01,Retail Banking Ops,Other,11340,10430,-910
2024-05-01,BR01,KYC & Onboarding,Staff,93560,106770,13210
2024-05-01,BR01,KYC & Onboarding,Technology & Systems,25520,27660,2140
2024-05-01,BR01,KYC & Onboarding,Screening & Data Vendors,10210,10540,330
2024-05-01,BR01,KYC & Onboarding,Premises,20410,23170,2760
2024-05-01,BR01,KYC & Onboarding,Outsourcing,11910,11570,-340
2024-05-01,BR01,KYC & Onboarding,Training,3400,3460,60
2024-05-01,BR01,KYC & Onboarding,Other,5100,5130,30
2024-05-01,BR01,AML & Financial Crime,Staff,103950,105790,1840
2024-05-01,BR01,AML & Financial Crime,Technology & Systems,28350,30330,1980
2024-05-01,BR01,AML & Financial Crime,Screening & Data Vendors,11340,11850,510
2024-05-01,BR01,AML & Financial Crime,Premises,22680,23310,630
2024-05-01,BR01,AML & Financial Crime,Outsourcing,13230,14820,1590
2024-05-01,BR01,AML & Financial Crime,Training,3780,3530,-250
2024-05-01,BR01,AML & Financial Crime,Other,5670,6540,870
2024-05-01,BR01,Payments Ops,Staff,72760,74610,1850
2024-05-01,BR01,Payments Ops,Technology & Systems,19840,17710,-2130
2024-05-01,BR01,Payments Ops,Screening & Data Vendors,7940,8320,380
2024-05-01,BR01,Payments Ops,Premises,15880,16110,230
2024-05-01,BR01,Payments Ops,Outsourcing,9260,8950,-310
2024-05-01,BR01,Payments Ops,Training,2650,2610,-40
2024-05-01,BR01,Payments Ops,Other,3970,4040,70
2024-05-01,BR01,IT & Technology,Staff,124740,127260,2520
2024-05-01,BR01,IT & Technology,Technology & Systems,34020,35130,1110
2024-05-01,BR01,IT & Technology,Screening & Data Vendors,13610,13110,-500
2024-05-01,BR01,IT & Technology,Premises,27220,27090,-130
2024-05-01,BR01,IT & Technology,Outsourcing,15880,16640,760
2024-05-01,BR01,IT & Technology,Training,4540,4710,170
2024-05-01,BR01,IT & Technology,Other,6800,7160,360
2024-05-01,BR01,Compliance,Staff,62370,63710,1340
2024-05-01,BR01,Compliance,Technology & Systems,17010,17370,360
2024-05-01,BR01,Compliance,Screening & Data Vendors,6800,7410,610
2024-05-01,BR01,Compliance,Premises,13610,13720,110
2024-05-01,BR01,Compliance,Outsourcing,7940,8770,830
2024-05-01,BR01,Compliance,Training,2270,2180,-90
2024-05-01,BR01,Compliance,Other,3400,3290,-110
2024-06-01,BR01,Retail Banking Ops,Staff,207900,231440,23540
2024-06-01,BR01,Retail Banking Ops,Technology & Systems,56700,55780,-920
2024-06-01,BR01,Retail Banking Ops,Screening & Data Vendors,22680,22350,-330
2024-06-01,BR01,Retail Banking Ops,Premises,45360,43930,-1430
2024-06-01,BR01,Retail Banking Ops,Outsourcing,26460,28270,1810
2024-06-01,BR01,Retail Banking Ops,Training,7560,8050,490
2024-06-01,BR01,Retail Banking Ops,Other,11340,11890,550
2024-06-01,BR01,KYC & Onboarding,Staff,93560,98090,4530
2024-06-01,BR01,KYC & Onboarding,Technology & Systems,25520,25380,-140
2024-06-01,BR01,KYC & Onboarding,Screening & Data Vendors,10210,10030,-180
2024-06-01,BR01,KYC & Onboarding,Premises,20410,21070,660
2024-06-01,BR01,KYC & Onboarding,Outsourcing,11910,12710,800
2024-06-01,BR01,KYC & Onboarding,Training,3400,3590,190
2024-06-01,BR01,KYC & Onboarding,Other,5100,5610,510
2024-06-01,BR01,AML & Financial Crime,Staff,103950,109210,5260
2024-06-01,BR01,AML & Financial Crime,Technology & Systems,28350,31790,3440
2024-06-01,BR01,AML & Financial Crime,Screening & Data Vendors,11340,11120,-220
2024-06-01,BR01,AML & Financial Crime,Premises,22680,23730,1050
2024-06-01,BR01,AML & Financial Crime,Outsourcing,13230,13590,360
2024-06-01,BR01,AML & Financial Crime,Training,3780,4000,220
2024-06-01,BR01,AML & Financial Crime,Other,5670,6420,750
2024-06-01,BR01,Payments Ops,Staff,72760,69630,-3130
2024-06-01,BR01,Payments Ops,Technology & Systems,19840,20810,970
2024-06-01,BR01,Payments Ops,Screening & Data Vendors,7940,8830,890
2024-06-01,BR01,Payments Ops,Premises,15880,16510,630
2024-06-01,BR01,Payments Ops,Outsourcing,9260,10090,830
2024-06-01,BR01,Payments Ops,Training,2650,2570,-80
2024-06-01,BR01,Payments Ops,Other,3970,4230,260
2024-06-01,BR01,IT & Technology,Staff,124740,113520,-11220
2024-06-01,BR01,IT & Technology,Technology & Systems,34020,35660,1640
2024-06-01,BR01,IT & Technology,Screening & Data Vendors,13610,13180,-430
2024-06-01,BR01,IT & Technology,Premises,27220,26390,-830
2024-06-01,BR01,IT & Technology,Outsourcing,15880,14490,-1390
2024-06-01,BR01,IT & Technology,Training,4540,4700,160
2024-06-01,BR01,IT & Technology,Other,6800,6750,-50
2024-06-01,BR01,Compliance,Staff,62370,67300,4930
2024-06-01,BR01,Compliance,Technology & Systems,17010,18070,1060
2024-06-01,BR01,Compliance,Screening & Data Vendors,6800,7140,340
2024-06-01,BR01,Compliance,Premises,13610,14620,1010
2024-06-01,BR01,Compliance,Outsourcing,7940,8180,240
2024-06-01,BR01,Compliance,Training,2270,2540,270
2024-06-01,BR01,Compliance,Other,3400,3510,110
2024-07-01,BR01,Retail Banking Ops,Staff,207900,218930,11030
2024-07-01,BR01,Retail Banking Ops,Technology & Systems,56700,60760,4060
2024-07-01,BR01,Retail Banking Ops,Screening & Data Vendors,22680,21760,-920
2024-07-01,BR01,Retail Banking Ops,Premises,45360,47540,2180
2024-07-01,BR01,Retail Banking Ops,Outsourcing,26460,26380,-80
2024-07-01,BR01,Retail Banking Ops,Training,7560,7740,180
2024-07-01,BR01,Retail Banking Ops,Other,11340,11360,20
2024-07-01,BR01,KYC & Onboarding,Staff,93560,101000,7440
2024-07-01,BR01,KYC & Onboarding,Technology & Systems,25520,26340,820
2024-07-01,BR01,KYC & Onboarding,Screening & Data Vendors,10210,10340,130
2024-07-01,BR01,KYC & Onboarding,Premises,20410,20730,320
2024-07-01,BR01,KYC & Onboarding,Outsourcing,11910,13030,1120
2024-07-01,BR01,KYC & Onboarding,Training,3400,3880,480
2024-07-01,BR01,KYC & Onboarding,Other,5100,5610,510
2024-07-01,BR01,AML & Financial Crime,Staff,103950,116590,12640
2024-07-01,BR01,AML & Financial Crime,Technology & Systems,28350,31530,3180
2024-07-01,BR01,AML & Financial Crime,Screening & Data Vendors,11340,11910,570
2024-07-01,BR01,AML & Financial Crime,Premises,22680,24630,1950
2024-07-01,BR01,AML & Financial Crime,Outsourcing,13230,14190,960
2024-07-01,BR01,AML & Financial Crime,Training,3780,4140,360
2024-07-01,BR01,AML & Financial Crime,Other,5670,5800,130
2024-07-01,BR01,Payments Ops,Staff,72760,80070,7310
2024-07-01,BR01,Payments Ops,Technology & Systems,19840,21120,1280
2024-07-01,BR01,Payments Ops,Screening & Data Vendors,7940,7630,-310
2024-07-01,BR01,Payments Ops,Premises,15880,15900,20
2024-07-01,BR01,Payments Ops,Outsourcing,9260,10090,830
2024-07-01,BR01,Payments Ops,Training,2650,2730,80
2024-07-01,BR01,Payments Ops,Other,3970,4490,520
2024-07-01,BR01,IT & Technology,Staff,124740,120900,-3840
2024-07-01,BR01,IT & Technology,Technology & Systems,34020,34900,880
2024-07-01,BR01,IT & Technology,Screening & Data Vendors,13610,15290,1680
2024-07-01,BR01,IT & Technology,Premises,27220,28550,1330
2024-07-01,BR01,IT & Technology,Outsourcing,15880,16650,770
2024-07-01,BR01,IT & Technology,Training,4540,4860,320
2024-07-01,BR01,IT & Technology,Other,6800,7880,1080
2024-07-01,BR01,Compliance,Staff,62370,65360,2990
2024-07-01,BR01,Compliance,Technology & Systems,17010,16590,-420
2024-07-01,BR01,Compliance,Screening & Data Vendors,6800,6810,10
2024-07-01,BR01,Compliance,Premises,13610,14450,840
2024-07-01,BR01,Compliance,Outsourcing,7940,8150,210
2024-07-01,BR01,Compliance,Training,2270,2390,120
2024-07-01,BR01,Compliance,Other,3400,3520,120
2024-08-01,BR01,Retail Banking Ops,Staff,207900,202590,-5310
2024-08-01,BR01,Retail Banking Ops,Technology & Systems,56700,57620,920
2024-08-01,BR01,Retail Banking Ops,Screening & Data Vendors,22680,24510,1830
2024-08-01,BR01,Retail Banking Ops,Premises,45360,43040,-2320
2024-08-01,BR01,Retail Banking Ops,Outsourcing,26460,29160,2700
2024-08-01,BR01,Retail Banking Ops,Training,7560,7660,100
2024-08-01,BR01,Retail Banking Ops,Other,11340,11850,510
2024-08-01,BR01,KYC & Onboarding,Staff,93560,101850,8290
2024-08-01,BR01,KYC & Onboarding,Technology & Systems,25520,26190,670
2024-08-01,BR01,KYC & Onboarding,Screening & Data Vendors,10210,11290,1080
2024-08-01,BR01,KYC & Onboarding,Premises,20410,21230,820
2024-08-01,BR01,KYC & Onboarding,Outsourcing,11910,13700,1790
2024-08-01,BR01,KYC & Onboarding,Training,3400,3790,390
2024-08-01,BR01,KYC & Onboarding,Other,5100,5550,450
2024-08-01,BR01,AML & Financial Crime,Staff,103950,123690,19740
2024-08-01,BR01,AML & Financial Crime,Technology & Systems,28350,28810,460
2024-08-01,BR01,AML & Financial Crime,Screening & Data Vendors,11340,12410,1070
2024-08-01,BR01,AML & Financial Crime,Premises,22680,25770,3090
2024-08-01,BR01,AML & Financial Crime,Outsourcing,13230,14560,1330
2024-08-01,BR01,AML & Financial Crime,Training,3780,4350,570
2024-08-01,BR01,AML & Financial Crime,Other,5670,6150,480
2024-08-01,BR01,Payments Ops,Staff,72760,74970,2210
2024-08-01,BR01,Payments Ops,Technology & Systems,19840,21650,1810
2024-08-01,BR01,Payments Ops,Screening & Data Vendors,7940,7740,-200
2024-08-01,BR01,Payments Ops,Premises,15880,18910,3030
2024-08-01,BR01,Payments Ops,Outsourcing,9260,9600,340
2024-08-01,BR01,Payments Ops,Training,2650,2810,160
2024-08-01,BR01,Payments Ops,Other,3970,4100,130
2024-08-01,BR01,IT & Technology,Staff,124740,118970,-5770
2024-08-01,BR01,IT & Technology,Technology & Systems,34020,34440,420
2024-08-01,BR01,IT & Technology,Screening & Data Vendors,13610,13080,-530
2024-08-01,BR01,IT & Technology,Premises,27220,27590,370
2024-08-01,BR01,IT & Technology,Outsourcing,15880,17790,1910
2024-08-01,BR01,IT & Technology,Training,4540,4740,200
2024-08-01,BR01,IT & Technology,Other,6800,6940,140
2024-08-01,BR01,Compliance,Staff,62370,69620,7250
2024-08-01,BR01,Compliance,Technology & Systems,17010,18450,1440
2024-08-01,BR01,Compliance,Screening & Data Vendors,6800,7440,640
2024-08-01,BR01,Compliance,Premises,13610,15460,1850
2024-08-01,BR01,Compliance,Outsourcing,7940,7990,50
2024-08-01,BR01,Compliance,Training,2270,2400,130
2024-08-01,BR01,Compliance,Other,3400,3330,-70
2024-09-01,BR01,Retail Banking Ops,Staff,207900,200540,-7360
2024-09-01,BR01,Retail Banking Ops,Technology & Systems,56700,62440,5740
2024-09-01,BR01,Retail Banking Ops,Screening & Data Vendors,22680,24520,1840
2024-09-01,BR01,Retail Banking Ops,Premises,45360,44780,-580
2024-09-01,BR01,Retail Banking Ops,Outsourcing,26460,26860,400
2024-09-01,BR01,Retail Banking Ops,Training,7560,7680,120
2024-09-01,BR01,Retail Banking Ops,Other,11340,11590,250
2024-09-01,BR01,KYC & Onboarding,Staff,93560,91020,-2540
2024-09-01,BR01,KYC & Onboarding,Technology & Systems,25520,26880,1360
2024-09-01,BR01,KYC & Onboarding,Screening & Data Vendors,10210,11430,1220
2024-09-01,BR01,KYC & Onboarding,Premises,20410,23140,2730
2024-09-01,BR01,KYC & Onboarding,Outsourcing,11910,12270,360
2024-09-01,BR01,KYC & Onboarding,Training,3400,3630,230
2024-09-01,BR01,KYC & Onboarding,Other,5100,5270,170
2024-09-01,BR01,AML & Financial Crime,Staff,103950,114690,10740
2024-09-01,BR01,AML & Financial Crime,Technology & Systems,28350,31230,2880
2024-09-01,BR01,AML & Financial Crime,Screening & Data Vendors,11340,11960,620
2024-09-01,BR01,AML & Financial Crime,Premises,22680,25290,2610
2024-09-01,BR01,AML & Financial Crime,Outsourcing,13230,14340,1110
2024-09-01,BR01,AML & Financial Crime,Training,3780,4750,970
2024-09-01,BR01,AML & Financial Crime,Other,5670,6080,410
2024-09-01,BR01,Payments Ops,Staff,72760,78480,5720
2024-09-01,BR01,Payments Ops,Technology & Systems,19840,22100,2260
2024-09-01,BR01,Payments Ops,Screening & Data Vendors,7940,8460,520
2024-09-01,BR01,Payments Ops,Premises,15880,16850,970
2024-09-01,BR01,Payments Ops,Outsourcing,9260,9710,450
2024-09-01,BR01,Payments Ops,Training,2650,2680,30
2024-09-01,BR01,Payments Ops,Other,3970,3550,-420
2024-09-01,BR01,IT & Technology,Staff,124740,131430,6690
2024-09-01,BR01,IT & Technology,Technology & Systems,34020,35110,1090
2024-09-01,BR01,IT & Technology,Screening & Data Vendors,13610,14490,880
2024-09-01,BR01,IT & Technology,Premises,27220,27700,480
2024-09-01,BR01,IT & Technology,Outsourcing,15880,16200,320
2024-09-01,BR01,IT & Technology,Training,4540,4260,-280
2024-09-01,BR01,IT & Technology,Other,6800,7060,260
2024-09-01,BR01,Compliance,Staff,62370,65370,3000
2024-09-01,BR01,Compliance,Technology & Systems,17010,16120,-890
2024-09-01,BR01,Compliance,Screening & Data Vendors,6800,6990,190
2024-09-01,BR01,Compliance,Premises,13610,14320,710
2024-09-01,BR01,Compliance,Outsourcing,7940,7280,-660
2024-09-01,BR01,Compliance,Training,2270,2600,330
2024-09-01,BR01,Compliance,Other,3400,3590,190
2024-10-01,BR01,Retail Banking Ops,Staff,207900,212530,4630
2024-10-01,BR01,Retail Banking Ops,Technology & Systems,56700,57590,890
2024-10-01,BR01,Retail Banking Ops,Screening & Data Vendors,22680,21990,-690
2024-10-01,BR01,Retail Banking Ops,Premises,45360,48220,2860
2024-10-01,BR01,Retail Banking Ops,Outsourcing,26460,28930,2470
2024-10-01,BR01,Retail Banking Ops,Training,7560,7330,-230
2024-10-01,BR01,Retail Banking Ops,Other,11340,12440,1100
2024-10-01,BR01,KYC & Onboarding,Staff,93560,101770,8210
2024-10-01,BR01,KYC & Onboarding,Technology & Systems,25520,27710,2190
2024-10-01,BR01,KYC & Onboarding,Screening & Data Vendors,10210,12430,2220
2024-10-01,BR01,KYC & Onboarding,Premises,20410,22290,1880
2024-10-01,BR01,KYC & Onboarding,Outsourcing,11910,13580,1670
2024-10-01,BR01,KYC & Onboarding,Training,3400,3780,380
2024-10-01,BR01,KYC & Onboarding,Other,5100,5140,40
2024-10-01,BR01,AML & Financial Crime,Staff,103950,108160,4210
2024-10-01,BR01,AML & Financial Crime,Technology & Systems,28350,31740,3390
2024-10-01,BR01,AML & Financial Crime,Screening & Data Vendors,11340,12260,920
2024-10-01,BR01,AML & Financial Crime,Premises,22680,24750,2070
2024-10-01,BR01,AML & Financial Crime,Outsourcing,13230,14800,1570
2024-10-01,BR01,AML & Financial Crime,Training,3780,3740,-40
2024-10-01,BR01,AML & Financial Crime,Other,5670,5900,230
2024-10-01,BR01,Payments Ops,Staff,72760,75110,2350
2024-10-01,BR01,Payments Ops,Technology & Systems,19840,20000,160
2024-10-01,BR01,Payments Ops,Screening & Data Vendors,7940,7970,30
2024-10-01,BR01,Payments Ops,Premises,15880,17230,1350
2024-10-01,BR01,Payments Ops,Outsourcing,9260,9480,220
2024-10-01,BR01,Payments Ops,Training,2650,2560,-90
2024-10-01,BR01,Payments Ops,Other,3970,4490,520
2024-10-01,BR01,IT & Technology,Staff,124740,134460,9720
2024-10-01,BR01,IT & Technology,Technology & Systems,34020,37490,3470
2024-10-01,BR01,IT & Technology,Screening & Data Vendors,13610,13510,-100
2024-10-01,BR01,IT & Technology,Premises,27220,28010,790
2024-10-01,BR01,IT & Technology,Outsourcing,15880,14750,-1130
2024-10-01,BR01,IT & Technology,Training,4540,4850,310
2024-10-01,BR01,IT & Technology,Other,6800,7530,730
2024-10-01,BR01,Compliance,Staff,62370,62140,-230
