case_id,customer_id,case_type,due_diligence_level,assigned_team,analyst_id,start_date,completion_date,sla_days,days_taken,sla_breached,id_verified,address_verified,source_of_funds_verified,source_of_wealth_verified,senior_mgmt_approval,status,rejection_reason,qa_check_passed,case_handling_hours
KYC00032,C00029,Onboarding,Standard,KYC Onboarding,AN001,2025-05-29,2025-05-31,10,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.3
KYC00033,C00030,Onboarding,Standard,KYC Onboarding,AN002,2023-12-28,2023-12-30,10,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.4
KYC00034,C00031,Onboarding,Standard,KYC Onboarding,AN008,2025-07-04,2025-07-09,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.4
KYC00036,C00032,Onboarding,Standard,Business Due Diligence,AN025,2025-06-28,2025-07-05,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,5.7
KYC00037,C00033,Onboarding,Standard,KYC Onboarding,AN010,2024-05-06,2024-05-13,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.8
KYC00038,C00034,Onboarding,Standard,KYC Onboarding,AN010,2024-09-02,2024-09-10,10,8.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,6.5
KYC00039,C00035,Onboarding,Standard,KYC Onboarding,AN007,2025-07-11,2025-07-14,10,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.2
KYC00040,C00036,Onboarding,Standard,KYC Onboarding,AN003,2025-02-22,2025-02-25,10,3.0,N,N,Y,Y,N/A,N/A,Approved,,Y,1.8
KYC00041,C00037,Onboarding,Standard,Business Due Diligence,AN024,2024-09-04,2024-09-05,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.6
KYC00042,C00038,Onboarding,Standard,KYC Onboarding,AN004,2025-07-06,2025-07-13,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,5.4
KYC00043,C00039,Onboarding,Enhanced,Enhanced Due Diligence,AN021,2025-04-04,2025-04-11,30,7.0,N,Y,Y,N,Y,Y,Approved,,Y,5.5
KYC00044,C00040,Onboarding,Standard,KYC Onboarding,AN002,2025-01-06,2025-01-13,10,7.0,N,Y,Y,N,N/A,N/A,Approved,,Y,4.6
KYC00045,C00040,Trigger Event Review,Standard,KYC Periodic Review,AN013,2025-10-28,2025-11-14,10,17.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,8.8
KYC00046,C00041,Onboarding,Simplified,KYC Onboarding,AN010,2024-01-05,2024-01-06,5,1.0,N,Y,Y,N,N/A,N/A,Approved,,Y,0.4
KYC00047,C00042,Onboarding,Standard,KYC Onboarding,AN003,2025-04-14,2025-04-20,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.7
KYC00048,C00043,Onboarding,Standard,Business Due Diligence,AN024,2024-05-11,2024-05-20,10,9.0,N,Y,Y,Y,N/A,N/A,Rejected,Source of funds unclear,Y,5.6
KYC00049,C00044,Onboarding,Standard,KYC Onboarding,AN004,2025-11-02,2025-11-08,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.0
KYC00050,C00045,Onboarding,Simplified,KYC Onboarding,AN010,2024-05-18,2024-05-20,5,2.0,N,Y,Y,N,N/A,N/A,Approved,,Y,1.4
KYC00051,C00046,Onboarding,Standard,KYC Onboarding,AN001,2024-01-21,2024-01-30,10,9.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,5.4
KYC00052,C00047,Onboarding,Standard,KYC Onboarding,AN008,2024-10-02,2024-10-05,10,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.6
KYC00053,C00048,Onboarding,Simplified,KYC Onboarding,AN004,2024-09-10,2024-09-12,5,2.0,N,Y,N,N,N/A,N/A,Approved,,Y,1.4
KYC00054,C00049,Onboarding,Standard,KYC Onboarding,AN008,2024-09-14,2024-09-19,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.6
KYC00055,C00050,Onboarding,Simplified,KYC Onboarding,AN005,2025-11-04,2025-11-07,5,3.0,N,Y,Y,N,N/A,N/A,Approved,,Y,1.9
KYC00056,C00051,Onboarding,Enhanced,Enhanced Due Diligence,AN018,2024-07-15,2024-08-09,30,25.0,N,Y,Y,Y,N,Y,Approved,,N,17.0
KYC00057,C00051,Periodic Review,Enhanced,Enhanced Due Diligence,AN019,2025-07-09,2025-07-16,30,7.0,N,Y,Y,N,Y,Y,Approved,,Y,5.0
KYC00058,C00052,Onboarding,Enhanced,Enhanced Due Diligence,AN019,2025-09-03,2025-09-04,30,1.0,N,Y,Y,Y,Y,Y,Approved,,Y,0.9
KYC00059,C00053,Onboarding,Standard,KYC Onboarding,AN003,2024-04-26,2024-04-27,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.8
KYC00060,C00053,Trigger Event Review,Standard,KYC Periodic Review,AN016,2024-09-25,2024-10-07,10,12.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,10.3
KYC00061,C00054,Onboarding,Standard,KYC Onboarding,AN006,2025-03-22,2025-03-28,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.9
KYC00062,C00055,Onboarding,Simplified,KYC Onboarding,AN008,2024-04-02,2024-04-04,5,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.4
KYC00063,C00056,Onboarding,Standard,KYC Onboarding,AN007,2024-06-13,2024-06-15,10,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.6
KYC00064,C00057,Onboarding,Standard,KYC Onboarding,AN003,2024-04-14,2024-04-20,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.9
KYC00065,C00058,Onboarding,Standard,KYC Onboarding,AN001,2024-08-25,2024-08-28,10,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.6
KYC00066,C00059,Onboarding,Standard,Business Due Diligence,AN025,2024-11-29,2024-12-04,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.8
KYC00067,C00060,Onboarding,Enhanced,Enhanced Due Diligence,AN017,2025-09-15,2025-10-08,30,23.0,N,Y,Y,Y,Y,Y,Approved,,Y,19.2
KYC00068,C00061,Onboarding,Simplified,KYC Onboarding,AN006,2025-07-06,2025-07-10,5,4.0,N,Y,Y,N,N/A,N/A,Approved,,N,2.9
KYC00069,C00062,Onboarding,Standard,Business Due Diligence,AN022,2025-05-22,2025-05-27,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.9
KYC00070,C00063,Onboarding,Standard,KYC Onboarding,AN007,2024-12-22,2024-12-30,10,8.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.8
KYC00071,C00064,Onboarding,Standard,KYC Onboarding,AN005,2024-07-25,2024-08-02,10,8.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,6.4
KYC00072,C00065,Onboarding,Standard,KYC Onboarding,AN001,2024-08-04,2024-08-12,10,8.0,N,Y,N,Y,N/A,N/A,Approved,,Y,4.3
KYC00073,C00066,Onboarding,Standard,KYC Onboarding,AN002,2024-04-04,2024-04-15,10,11.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,8.4
KYC00074,C00067,Onboarding,Enhanced,Enhanced Due Diligence,AN020,2025-04-27,2025-06-08,30,42.0,Y,Y,Y,Y,Y,N,Rejected,Adverse media,N,28.1
KYC00075,C00068,Onboarding,Standard,Business Due Diligence,AN022,2025-07-22,2025-08-03,10,12.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,8.6
KYC00076,C00069,Onboarding,Standard,KYC Onboarding,AN007,2025-01-31,2025-02-15,10,15.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,6.7
KYC00077,C00070,Onboarding,Enhanced,Enhanced Due Diligence,AN018,2025-02-25,2025-04-19,30,53.0,Y,Y,Y,Y,N,Y,Approved,,N,22.1
KYC00078,C00071,Onboarding,Simplified,KYC Onboarding,AN001,2024-09-27,2024-10-01,5,4.0,N,Y,Y,Y,N/A,N/A,Approved,,N,2.4
KYC00079,C00072,Onboarding,Standard,KYC Onboarding,AN008,2025-12-02,2025-12-20,10,18.0,Y,Y,Y,N,N/A,N/A,Approved,,Y,12.0
KYC00080,C00073,Onboarding,Standard,KYC Onboarding,AN003,2025-10-08,2025-10-13,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.0
KYC00081,C00074,Onboarding,Enhanced,Enhanced Due Diligence,AN019,2024-10-20,2024-11-26,30,37.0,Y,Y,Y,Y,Y,Y,Approved,,Y,23.1
KYC00082,C00074,Periodic Review,Enhanced,Enhanced Due Diligence,AN019,2025-10-19,2025-11-06,30,18.0,N,Y,Y,N,Y,Y,Approved,,Y,10.5
KYC00083,C00075,Onboarding,Standard,KYC Onboarding,AN002,2025-07-01,2025-07-19,10,18.0,Y,Y,Y,Y,N/A,N/A,Approved,,N,10.4
KYC00084,C00076,Onboarding,Standard,KYC Onboarding,AN001,2024-09-12,2024-09-20,10,8.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.7
KYC00085,C00077,Onboarding,Simplified,KYC Onboarding,AN009,2024-03-29,2024-03-31,5,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.9
KYC00086,C00078,Onboarding,Enhanced,Enhanced Due Diligence,AN021,2024-07-27,2024-07-30,30,3.0,N,Y,Y,Y,N,Y,Approved,,N,2.0
KYC00087,C00078,Periodic Review,Enhanced,Enhanced Due Diligence,AN017,2025-07-21,2025-08-07,30,17.0,N,Y,Y,N,Y,N,Rejected,Adverse media,Y,10.4
KYC00088,C00079,Onboarding,Standard,Business Due Diligence,AN023,2025-09-02,2025-09-17,10,15.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,7.5
KYC00089,C00080,Onboarding,Enhanced,Enhanced Due Diligence,AN017,2024-12-14,2025-01-05,30,22.0,N,Y,N,Y,Y,Y,Approved,,Y,17.2
KYC00091,C00081,Onboarding,Standard,Business Due Diligence,AN025,2025-09-24,2025-10-04,10,10.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,7.6
KYC00092,C00082,Onboarding,Enhanced,Enhanced Due Diligence,AN021,2024-08-22,2024-09-01,30,10.0,N,N,Y,Y,Y,Y,Approved,,Y,7.7
KYC00093,C00082,Periodic Review,Enhanced,Enhanced Due Diligence,AN020,2025-09-13,2025-11-08,30,56.0,Y,Y,N,Y,Y,Y,Approved,,Y,25.9
KYC00094,C00083,Onboarding,Standard,KYC Onboarding,AN007,2024-11-30,2024-12-07,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,5.7
KYC00095,C00084,Onboarding,Standard,KYC Onboarding,AN009,2024-02-21,2024-02-25,10,4.0,N,Y,Y,Y,N/A,N/A,Rejected,Incomplete documents,Y,3.4
KYC00096,C00085,Onboarding,Standard,Business Due Diligence,AN023,2025-07-24,2025-07-27,10,3.0,N,Y,Y,N,N/A,N/A,Approved,,Y,1.7
KYC00097,C00086,Onboarding,Standard,KYC Onboarding,AN006,2024-08-15,2024-08-22,10,7.0,N,Y,Y,N,N/A,N/A,Approved,,Y,3.2
KYC00098,C00087,Onboarding,Standard,KYC Onboarding,AN004,2024-03-07,2024-03-16,10,9.0,N,Y,Y,Y,N/A,N/A,Approved,,N,6.0
KYC00099,C00088,Onboarding,Standard,KYC Onboarding,AN010,2024-06-06,2024-06-11,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.7
KYC00100,C00089,Onboarding,Standard,Business Due Diligence,AN023,2025-04-28,2025-04-30,10,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.6
KYC00101,C00090,Onboarding,Simplified,KYC Onboarding,AN002,2025-08-19,2025-08-26,5,7.0,Y,Y,Y,Y,N/A,N/A,Approved,,N,3.8
KYC00102,C00091,Onboarding,Standard,Business Due Diligence,AN024,2025-11-27,2025-12-03,10,6.0,N,Y,Y,N,N/A,N/A,Rejected,Unacceptable risk appetite,Y,2.4
KYC00103,C00092,Onboarding,Standard,KYC Onboarding,AN009,2024-06-21,2024-06-24,10,3.0,N,N,Y,Y,N/A,N/A,Approved,,Y,2.5
KYC00104,C00093,Onboarding,Standard,KYC Onboarding,AN004,2025-03-07,2025-03-12,10,5.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.8
KYC00105,C00094,Onboarding,Standard,Business Due Diligence,AN023,2024-11-30,2024-12-04,10,4.0,N,Y,Y,N,N/A,N/A,Approved,,Y,2.8
KYC00106,C00095,Onboarding,Standard,KYC Onboarding,AN005,2025-06-06,2025-06-09,10,3.0,N,Y,Y,N,N/A,N/A,Rejected,Adverse media,Y,2.3
KYC00107,C00096,Onboarding,Standard,KYC Onboarding,AN009,2025-05-06,2025-05-17,10,11.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,7.5
KYC00108,C00097,Onboarding,Standard,KYC Onboarding,AN007,2024-02-21,2024-02-27,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.5
KYC00109,C00098,Onboarding,Standard,Business Due Diligence,AN023,2024-04-18,2024-04-23,10,5.0,N,Y,Y,N,N/A,N/A,Approved,,Y,3.3
KYC00110,C00099,Onboarding,Standard,KYC Onboarding,AN003,2025-03-04,2025-03-10,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.6
KYC00111,C00100,Onboarding,Standard,KYC Onboarding,AN001,2025-01-23,2025-01-26,10,3.0,N,Y,Y,N,N/A,N/A,Approved,,Y,2.2
KYC00112,C00101,Onboarding,Standard,Business Due Diligence,AN024,2025-10-06,2025-10-07,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.8
KYC00113,C00102,Onboarding,Standard,Business Due Diligence,AN025,2025-09-10,2025-09-22,10,12.0,Y,Y,Y,N,N/A,N/A,Approved,,Y,5.5
KYC00114,C00103,Onboarding,Standard,KYC Onboarding,AN007,2024-02-11,2024-02-17,10,6.0,N,Y,Y,N,N/A,N/A,Approved,,Y,3.9
KYC00115,C00104,Onboarding,Standard,KYC Onboarding,AN004,2025-03-01,2025-03-15,10,14.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,8.0
KYC00116,C00105,Onboarding,Simplified,KYC Onboarding,AN001,2024-10-20,2024-10-21,5,1.0,N,Y,Y,N,N/A,N/A,Approved,,Y,0.7
KYC00117,C00106,Onboarding,Standard,KYC Onboarding,AN010,2024-12-14,2024-12-17,10,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.8
KYC00118,C00107,Onboarding,Standard,KYC Onboarding,AN001,2024-02-15,2024-02-23,10,8.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,5.1
KYC00119,C00108,Onboarding,Simplified,KYC Onboarding,AN002,2025-09-01,2025-09-02,5,1.0,N,Y,Y,N,N/A,N/A,Approved,,Y,0.8
KYC00120,C00109,Onboarding,Standard,KYC Onboarding,AN004,2024-04-26,2024-05-17,10,21.0,Y,Y,Y,N,N/A,N/A,Approved,,Y,15.1
KYC00121,C00110,Onboarding,Standard,KYC Onboarding,AN006,2025-11-22,2025-11-28,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.1
KYC00122,C00111,Onboarding,Standard,KYC Onboarding,AN008,2025-11-07,2025-11-08,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.7
KYC00123,C00112,Onboarding,Standard,KYC Onboarding,AN007,2025-08-21,2025-08-22,10,1.0,N,Y,Y,N,N/A,N/A,Approved,,Y,0.5
KYC00124,C00113,Onboarding,Standard,KYC Onboarding,AN003,2024-03-26,2024-04-03,10,8.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,5.7
KYC00125,C00114,Onboarding,Standard,Business Due Diligence,AN022,2024-10-23,2024-10-24,10,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.9
KYC00126,C00115,Onboarding,Enhanced,Enhanced Due Diligence,AN018,2024-01-14,2024-02-12,30,29.0,N,Y,Y,Y,Y,Y,Approved,,Y,21.1
KYC00127,C00115,Periodic Review,Enhanced,Enhanced Due Diligence,AN018,2025-01-22,2025-02-13,30,22.0,N,Y,Y,N,Y,Y,Approved,,N,12.0
KYC00128,C00116,Onboarding,Standard,Business Due Diligence,AN022,2025-03-21,2025-04-04,10,14.0,Y,Y,Y,N,N/A,N/A,Approved,,Y,6.5
KYC00129,C00117,Onboarding,Standard,KYC Onboarding,AN006,2025-09-20,2025-09-23,10,3.0,N,Y,Y,Y,N/A,N/A,Approved,,N,2.7
KYC00130,C00118,Onboarding,Standard,KYC Onboarding,AN008,2025-01-16,2025-01-25,10,9.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.9
KYC00131,C00119,Onboarding,Enhanced,Enhanced Due Diligence,AN018,2024-01-15,2024-02-05,30,21.0,N,Y,Y,N,Y,Y,Approved,,Y,17.0
KYC00132,C00119,Periodic Review,Enhanced,Enhanced Due Diligence,AN021,2025-01-05,2025-03-06,30,60.0,Y,Y,Y,Y,Y,Y,Approved,,N,29.3
KYC00133,C00120,Onboarding,Simplified,KYC Onboarding,AN010,2024-08-06,2024-08-07,5,1.0,N,Y,Y,N,N/A,N/A,Approved,,Y,0.7
KYC00134,C00121,Onboarding,Simplified,KYC Onboarding,AN005,2024-05-02,2024-05-05,5,3.0,N,Y,Y,N,N/A,N/A,Approved,,N,1.4
KYC00135,C00122,Onboarding,Standard,KYC Onboarding,AN003,2024-11-14,2024-11-18,10,4.0,N,Y,Y,Y,N/A,N/A,Approved,,N,3.2
KYC00136,C00123,Onboarding,Standard,KYC Onboarding,AN002,2024-09-24,2024-09-29,10,5.0,N,Y,N,Y,N/A,N/A,Approved,,Y,2.6
KYC00137,C00124,Onboarding,Standard,Business Due Diligence,AN022,2025-08-25,2025-09-01,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.8
KYC00138,C00125,Onboarding,Standard,KYC Onboarding,AN006,2024-06-07,2024-06-13,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.9
KYC00139,C00126,Onboarding,Enhanced,Enhanced Due Diligence,AN021,2024-08-03,2024-08-28,30,25.0,N,N,Y,N,Y,Y,Approved,,Y,16.0
KYC00140,C00126,Periodic Review,Enhanced,Enhanced Due Diligence,AN019,2025-09-13,2025-10-22,30,39.0,Y,Y,Y,Y,Y,Y,Approved,,Y,26.5
KYC00141,C00127,Onboarding,Standard,KYC Onboarding,AN005,2024-06-20,2024-07-01,10,11.0,Y,Y,Y,Y,N/A,N/A,Rejected,Adverse media,Y,7.2
KYC00142,C00128,Onboarding,Standard,KYC Onboarding,AN002,2025-10-08,2025-10-21,10,13.0,Y,Y,Y,Y,N/A,N/A,Approved,,N,6.4
KYC00143,C00129,Onboarding,Standard,KYC Onboarding,AN006,2024-07-31,2024-08-07,10,7.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,4.2
KYC00144,C00130,Onboarding,Standard,KYC Onboarding,AN008,2025-12-22,2025-12-23,10,1.0,N,N,Y,Y,N/A,N/A,Approved,,N,0.6
KYC00145,C00131,Onboarding,Standard,KYC Onboarding,AN006,2025-04-29,2025-05-02,10,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.6
KYC00146,C00132,Onboarding,Standard,KYC Onboarding,AN007,2024-08-10,2024-08-17,10,7.0,N,Y,Y,N,N/A,N/A,Approved,,Y,3.3
KYC00147,C00133,Onboarding,Enhanced,Enhanced Due Diligence,AN020,2025-03-08,2025-03-19,30,11.0,N,N,Y,Y,Y,N,Escalated to Compliance,,Y,8.1
KYC00148,C00134,Onboarding,Standard,KYC Onboarding,AN001,2024-03-28,2024-04-07,10,10.0,N,Y,Y,N,N/A,N/A,Approved,,Y,4.1
KYC00149,C00135,Onboarding,Standard,Business Due Diligence,AN025,2025-10-18,2025-11-05,10,18.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,12.6
KYC00150,C00136,Onboarding,Standard,Business Due Diligence,AN023,2025-11-30,2025-12-13,10,13.0,Y,Y,Y,Y,N/A,N/A,Escalated to Compliance,,Y,11.4
KYC00151,C00137,Onboarding,Simplified,KYC Onboarding,AN006,2024-08-02,2024-08-04,5,2.0,N,Y,Y,N,N/A,N/A,Approved,,Y,1.1
KYC00152,C00138,Onboarding,Enhanced,Enhanced Due Diligence,AN018,2024-05-02,2024-06-11,30,40.0,Y,Y,Y,Y,Y,Y,Approved,,Y,17.3
KYC00153,C00138,Periodic Review,Enhanced,Enhanced Due Diligence,AN017,2025-05-28,2025-06-29,30,32.0,Y,N,Y,Y,Y,Y,Approved,,Y,24.7
KYC00154,C00139,Onboarding,Standard,KYC Onboarding,AN003,2024-11-05,2024-11-19,10,14.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,10.7
KYC00155,C00140,Onboarding,Standard,KYC Onboarding,AN006,2025-07-15,2025-07-18,10,3.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,2.0
KYC00156,C00141,Onboarding,Standard,Business Due Diligence,AN022,2025-04-02,2025-04-10,10,8.0,N,Y,Y,N,N/A,N/A,Approved,,Y,6.7
KYC00157,C00142,Onboarding,Standard,Business Due Diligence,AN024,2024-01-26,2024-02-05,10,10.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,8.9
KYC00158,C00143,Onboarding,Simplified,KYC Onboarding,AN006,2024-01-05,2024-01-07,5,2.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,1.0
KYC00159,C00144,Onboarding,Standard,KYC Onboarding,AN005,2024-06-21,2024-06-30,10,9.0,N,Y,Y,N,N/A,N/A,Approved,,Y,5.9
KYC00160,C00145,Onboarding,Simplified,KYC Onboarding,AN005,2025-07-01,2025-07-02,5,1.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,0.6
KYC00161,C00146,Onboarding,Standard,Business Due Diligence,AN024,2024-07-09,2024-07-11,10,2.0,N,Y,Y,Y,N/A,N/A,Approved,,N,1.6
KYC00162,C00147,Onboarding,Standard,KYC Onboarding,AN001,2025-10-15,2025-11-03,10,19.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,10.6
KYC00163,C00148,Onboarding,Standard,KYC Onboarding,AN006,2024-08-05,2024-08-18,10,13.0,Y,Y,Y,Y,N/A,N/A,Approved,,Y,8.2
KYC00164,C00149,Onboarding,Standard,KYC Onboarding,AN007,2025-10-12,2025-10-18,10,6.0,N,Y,Y,Y,N/A,N/A,Approved,,Y,3.5
