alert_id,customer_id,alert_date,scenario,transaction_amount_gbp,counterparty_country,priority,analyst_id,status,closed_date,days_to_close,outcome,analyst_hours,sar_filed
ALT00463,C02949,2024-05-02,Round-Amount Transfers,3198.4,United States,Medium,AN036,Closed,2024-05-06,4,Closed - False Positive,0.9,N
ALT05358,C02491,2024-05-02,Large Cash Deposit,9920.68,United Kingdom,High,AN036,Closed,2024-05-06,4,Closed - False Positive,1.2,N
ALT04042,C02876,2024-05-04,High-Risk Jurisdiction Transfer,18863.95,United Kingdom,Medium,AN040,Closed,2024-05-07,3,Closed - False Positive,0.4,N
ALT03310,C02276,2024-05-05,Structuring,7623.11,India,Medium,AN034,Closed,2024-05-09,4,Closed - False Positive,1.2,N
ALT05457,C02685,2024-05-05,Round-Amount Transfers,32506.97,United States,Low,AN034,Closed,2024-05-11,6,Closed - False Positive,0.3,N
ALT00446,C02556,2024-05-06,High-Risk Jurisdiction Transfer,28962.81,United Kingdom,High,AN037,Closed,2024-05-11,5,Closed - False Positive,1.1,N
ALT04592,C02235,2024-05-07,Unusual Activity vs Profile,1471.74,United Kingdom,Low,AN039,Closed,2024-06-02,26,Escalated to Investigation,9.4,N
ALT06110,C01872,2024-05-08,Structuring,9457.8,Nigeria,Medium,AN035,Closed,2024-05-09,1,Closed - False Positive,0.6,N
ALT02468,C00302,2024-05-08,Rapid Movement of Funds,21150.91,United Kingdom,Low,AN037,Closed,2024-05-09,1,Closed - False Positive,1.0,N
ALT04934,C00411,2024-05-09,Large Cash Deposit,51988.47,United Kingdom,High,AN038,Closed,2024-05-21,12,Closed - False Positive,0.8,N
ALT03824,C02985,2024-05-09,Dormant Account Reactivation,6946.4,Ireland,High,AN040,Closed,2024-05-10,1,Closed - False Positive,0.5,N
ALT03090,C01492,2024-05-10,Dormant Account Reactivation,21853.23,United Kingdom,High,AN034,Closed,2024-05-21,11,Closed - False Positive,0.4,N
ALT05724,C01108,2024-05-10,High-Risk Jurisdiction Transfer,30191.25,United Kingdom,Low,AN033,Closed,2024-05-21,11,Closed - False Positive,0.7,N
ALT05275,C01995,2024-05-10,Large Cash Deposit,27168.53,United Kingdom,High,AN035,Closed,2024-05-17,7,Closed - False Positive,1.2,N
ALT03233,C01492,2024-05-13,Dormant Account Reactivation,57654.03,Nigeria,High,AN040,Closed,2024-05-20,7,Closed - False Positive,1.0,N
ALT00977,C00142,2024-05-14,Round-Amount Transfers,2044.34,United Kingdom,Medium,AN037,Closed,2024-05-21,7,Closed - False Positive,0.4,N
ALT02467,C01170,2024-05-14,Large Cash Deposit,25379.42,United Kingdom,Medium,AN038,Closed,2024-05-19,5,Closed - False Positive,1.2,N
ALT03091,C01170,2024-05-15,Rapid Movement of Funds,2625.39,United Kingdom,Medium,AN036,Closed,2024-05-28,13,SAR Filed,7.8,Y
ALT05671,C02167,2024-05-16,High-Risk Jurisdiction Transfer,32370.13,UAE,High,AN033,Closed,2024-05-18,2,Closed - False Positive,0.5,N
ALT00180,C01581,2024-05-17,High-Risk Jurisdiction Transfer,1232.38,Panama,High,AN037,Closed,2024-05-26,9,Closed - False Positive,0.4,N
ALT00082,C01272,2024-05-17,Round-Amount Transfers,29894.08,United Kingdom,High,AN040,Closed,2024-05-21,4,Closed - False Positive,1.1,N
ALT03682,C00119,2024-05-18,Structuring,7873.1,United States,High,AN036,Closed,2024-05-24,6,Closed - False Positive,1.1,N
ALT02627,C01995,2024-05-18,High-Risk Jurisdiction Transfer,57493.06,France,High,AN039,Closed,2024-06-01,14,Closed - False Positive,0.9,N
ALT05857,C00152,2024-05-19,Rapid Movement of Funds,66517.32,United Kingdom,High,AN040,Closed,2024-06-28,40,Escalated to Investigation,5.6,N
ALT00171,C00848,2024-05-20,Rapid Movement of Funds,28744.26,United Kingdom,High,AN038,Closed,2024-05-24,4,Closed - False Positive,0.5,N
ALT03810,C02134,2024-05-21,Rapid Movement of Funds,2629.28,United Kingdom,High,AN033,Closed,2024-05-22,1,Closed - False Positive,0.8,N
ALT01752,C01706,2024-05-21,High-Risk Jurisdiction Transfer,4320.89,India,Low,AN040,Closed,2024-06-02,12,Closed - False Positive,1.0,N
ALT05093,C00187,2024-05-21,High-Risk Jurisdiction Transfer,14844.65,United Kingdom,Low,AN036,Closed,2024-05-23,2,Closed - False Positive,0.6,N
ALT00893,C00722,2024-05-21,Large Cash Deposit,17410.22,India,Medium,AN036,Closed,2024-05-27,6,Closed - False Positive,0.8,N
ALT05938,C00198,2024-05-22,Large Cash Deposit,55121.78,UAE,High,AN039,Closed,2024-06-05,14,Closed - False Positive,0.6,N
ALT00420,C00330,2024-05-22,High-Risk Jurisdiction Transfer,6887.44,United Kingdom,High,AN040,Closed,2024-05-26,4,Closed - False Positive,0.8,N
ALT01036,C00526,2024-05-23,Structuring,8963.74,United Kingdom,Low,AN039,Closed,2024-05-27,4,Closed - False Positive,1.1,N
ALT01678,C00853,2024-05-24,Structuring,7086.13,Ireland,Medium,AN035,Closed,2024-05-29,5,Closed - False Positive,0.7,N
ALT00392,C02167,2024-05-24,Rapid Movement of Funds,52960.73,United Kingdom,High,AN033,Closed,2024-05-30,6,Closed - False Positive,0.9,N
ALT02708,C02134,2024-05-25,High-Risk Jurisdiction Transfer,113797.99,United Kingdom,High,AN034,Closed,2024-06-08,14,Closed - False Positive,0.6,N
ALT02418,C00234,2024-05-25,High-Risk Jurisdiction Transfer,310561.4,United Kingdom,High,AN039,Closed,2024-05-27,2,Closed - False Positive,0.6,N
ALT04779,C00055,2024-05-27,High-Risk Jurisdiction Transfer,17510.23,United Kingdom,Medium,AN033,Closed,2024-06-01,5,Closed - False Positive,0.5,N
ALT03995,C00152,2024-05-27,Unusual Activity vs Profile,157751.57,Ireland,High,AN040,Closed,2024-06-05,9,Closed - False Positive,0.4,N
ALT00067,C02893,2024-05-28,High-Risk Jurisdiction Transfer,8358.81,United Kingdom,Medium,AN036,Closed,2024-05-31,3,Closed - False Positive,0.8,N
ALT06179,C00367,2024-05-29,Round-Amount Transfers,7159.69,United Kingdom,Medium,AN033,Closed,2024-06-02,4,Closed - False Positive,0.6,N
ALT01217,C00798,2024-05-29,Round-Amount Transfers,5951.22,Pakistan,Medium,AN038,Closed,2024-06-04,6,Closed - False Positive,1.0,N
ALT06098,C02914,2024-05-29,Large Cash Deposit,48695.05,United States,Medium,AN036,Closed,2024-06-04,6,Closed - False Positive,0.8,N
ALT01795,C01547,2024-05-30,Rapid Movement of Funds,3415.23,Hong Kong,Medium,AN036,Closed,2024-06-03,4,Closed - False Positive,1.2,N
ALT02240,C01180,2024-05-30,High-Risk Jurisdiction Transfer,7438.93,Germany,Medium,AN039,Closed,2024-06-03,4,Closed - False Positive,1.0,N
ALT06244,C02004,2024-05-30,High-Risk Jurisdiction Transfer,7232.63,United Kingdom,High,AN034,Closed,2024-06-03,4,Closed - False Positive,0.3,N
ALT06343,C00654,2024-05-31,Rapid Movement of Funds,11916.85,United Kingdom,High,AN034,Closed,2024-06-08,8,Closed - False Positive,0.6,N
ALT05641,C00006,2024-06-01,Large Cash Deposit,52897.76,Nigeria,High,AN036,Closed,2024-06-14,13,Closed - False Positive,1.1,N
ALT05729,C01191,2024-06-01,High-Risk Jurisdiction Transfer,3178.36,UAE,Low,AN039,Closed,2024-06-08,7,Closed - False Positive,0.6,N
ALT00689,C02366,2024-06-01,High-Risk Jurisdiction Transfer,27554.09,United Kingdom,Medium,AN035,Closed,2024-06-02,1,Closed - False Positive,1.0,N
ALT01710,C02943,2024-06-02,Large Cash Deposit,21026.37,United States,Low,AN037,Closed,2024-06-04,2,Closed - False Positive,0.7,N
ALT00545,C00546,2024-06-02,Unusual Activity vs Profile,6262.16,Germany,Low,AN035,Closed,2024-06-07,5,Closed - False Positive,1.1,N
ALT00337,C00025,2024-06-02,Unusual Activity vs Profile,14647.88,United Kingdom,Low,AN034,Closed,2024-06-27,25,SAR Filed,3.2,Y
ALT02932,C02537,2024-06-03,Dormant Account Reactivation,33054.28,United Kingdom,Medium,AN038,Closed,2024-06-06,3,Closed - False Positive,0.3,N
ALT04932,C00775,2024-06-03,Round-Amount Transfers,7371.31,United Kingdom,Medium,AN039,Closed,2024-06-09,6,Closed - False Positive,0.6,N
ALT03910,C02617,2024-06-03,Large Cash Deposit,45815.59,Nigeria,Low,AN034,Closed,2024-06-06,3,Closed - False Positive,1.2,N
ALT03325,C02167,2024-06-03,High-Risk Jurisdiction Transfer,9324.24,United Kingdom,High,AN033,Closed,2024-06-11,8,SAR Filed,13.5,Y
ALT01248,C00598,2024-06-04,High-Risk Jurisdiction Transfer,5544.17,India,Medium,AN037,Closed,2024-06-12,8,Closed - False Positive,0.7,N
ALT03438,C02727,2024-06-05,Large Cash Deposit,48148.92,Ireland,Low,AN034,Closed,2024-06-07,2,Closed - False Positive,0.5,N
ALT05389,C01497,2024-06-06,Round-Amount Transfers,2823.7,United Kingdom,Low,AN037,Closed,2024-06-12,6,Closed - False Positive,0.8,N
ALT03422,C01310,2024-06-06,Rapid Movement of Funds,1549.49,United Kingdom,Low,AN034,Closed,2024-06-09,3,Closed - False Positive,0.4,N
ALT04984,C02476,2024-06-06,Rapid Movement of Funds,12804.65,United Kingdom,Low,AN038,Closed,2024-06-08,2,Closed - False Positive,0.4,N
ALT03259,C02672,2024-06-06,Large Cash Deposit,13977.88,Germany,Medium,AN034,Closed,2024-06-24,18,SAR Filed,10.2,Y
ALT04898,C01891,2024-06-06,Unusual Activity vs Profile,23969.77,United Kingdom,Low,AN037,Closed,2024-06-10,4,Closed - False Positive,0.5,N
ALT03913,C00861,2024-06-07,Unusual Activity vs Profile,14663.08,United Kingdom,Low,AN034,Closed,2024-06-11,4,Closed - False Positive,0.9,N
ALT01854,C01698,2024-06-07,Rapid Movement of Funds,8000.16,India,Low,AN038,Closed,2024-06-19,12,Closed - False Positive,0.4,N
ALT04691,C01353,2024-06-08,High-Risk Jurisdiction Transfer,9530.18,United Kingdom,Low,AN034,Closed,2024-06-19,11,Closed - False Positive,0.8,N
ALT04023,C00513,2024-06-08,Dormant Account Reactivation,42305.36,United Kingdom,High,AN038,Closed,2024-06-16,8,Closed - False Positive,0.8,N
ALT05798,C00682,2024-06-08,Structuring,7069.68,Nigeria,Low,AN039,Closed,2024-06-18,10,Closed - False Positive,0.6,N
ALT06326,C02169,2024-06-09,Structuring,9675.57,United Kingdom,Medium,AN033,Closed,2024-06-17,8,Closed - False Positive,0.6,N
ALT02763,C02556,2024-06-09,Structuring,7546.65,United Kingdom,High,AN039,Closed,2024-06-19,10,Escalated to Investigation,11.0,N
ALT04287,C02420,2024-06-10,High-Risk Jurisdiction Transfer,7922.61,United Kingdom,Low,AN036,Closed,2024-06-22,12,Closed - False Positive,1.0,N
ALT04686,C01195,2024-06-10,Unusual Activity vs Profile,7152.58,Hong Kong,Medium,AN035,Closed,2024-06-18,8,Closed - False Positive,1.0,N
ALT03594,C00697,2024-06-10,Rapid Movement of Funds,41434.85,Germany,Medium,AN033,Closed,2024-06-17,7,Closed - False Positive,1.0,N
ALT00659,C01255,2024-06-11,Rapid Movement of Funds,73387.69,United Kingdom,High,AN034,Closed,2024-06-19,8,Closed - False Positive,0.3,N
ALT03227,C02395,2024-06-12,Unusual Activity vs Profile,45776.88,United Kingdom,Medium,AN037,Closed,2024-06-30,18,Escalated to Investigation,4.0,N
ALT04212,C00302,2024-06-13,Round-Amount Transfers,25586.2,Ireland,Low,AN035,Closed,2024-06-28,15,Closed - False Positive,1.1,N
ALT05974,C02155,2024-06-14,Unusual Activity vs Profile,18605.64,United Kingdom,High,AN038,Closed,2024-06-30,16,Closed - False Positive,0.4,N
ALT00595,C02210,2024-06-15,Structuring,7326.57,United Kingdom,High,AN035,Closed,2024-06-19,4,Closed - False Positive,0.7,N
ALT04351,C00596,2024-06-16,Rapid Movement of Funds,11504.12,Nigeria,Low,AN035,Closed,2024-06-22,6,Closed - False Positive,1.0,N
ALT04905,C02119,2024-06-18,High-Risk Jurisdiction Transfer,9555.09,United Kingdom,Low,AN033,Closed,2024-06-22,4,Closed - False Positive,0.4,N
ALT00190,C02498,2024-06-18,Large Cash Deposit,39460.87,United Kingdom,Medium,AN034,Closed,2024-06-22,4,Closed - False Positive,0.4,N
ALT02362,C02212,2024-06-19,Rapid Movement of Funds,8302.83,United Kingdom,Low,AN034,Closed,2024-07-02,13,Closed - False Positive,1.2,N
ALT01352,C00713,2024-06-19,Unusual Activity vs Profile,7524.31,United Kingdom,Low,AN035,Closed,2024-06-24,5,Closed - False Positive,0.7,N
ALT05435,C00441,2024-06-21,High-Risk Jurisdiction Transfer,19056.67,United Kingdom,High,AN038,Closed,2024-06-23,2,Closed - False Positive,1.1,N
ALT03762,C01784,2024-06-21,Rapid Movement of Funds,54036.88,United Kingdom,High,AN033,Closed,2024-06-25,4,Closed - False Positive,0.8,N
ALT01505,C01437,2024-06-21,Large Cash Deposit,58366.46,United Kingdom,High,AN038,Closed,2024-06-26,5,Closed - False Positive,0.5,N
ALT03818,C02433,2024-06-22,Unusual Activity vs Profile,18958.38,Germany,Low,AN040,Closed,2024-06-23,1,Closed - False Positive,1.1,N
ALT00238,C01563,2024-06-22,Large Cash Deposit,22902.42,Germany,Low,AN034,Closed,2024-06-28,6,Closed - False Positive,0.8,N
ALT04342,C00953,2024-06-23,Structuring,9095.74,Hong Kong,Low,AN034,Closed,2024-06-30,7,Closed - False Positive,1.2,N
ALT04845,C02255,2024-06-24,Unusual Activity vs Profile,9491.78,United Kingdom,Medium,AN036,Closed,2024-06-26,2,Closed - False Positive,0.9,N
ALT00198,C01170,2024-06-24,Large Cash Deposit,57100.76,United Kingdom,High,AN036,Closed,2024-07-02,8,Closed - False Positive,1.1,N
ALT04499,C01753,2024-06-24,Round-Amount Transfers,20264.69,Ireland,Medium,AN035,Closed,2024-06-26,2,Closed - False Positive,0.9,N
ALT06046,C00556,2024-06-24,Large Cash Deposit,13736.93,United Kingdom,Low,AN034,Closed,2024-06-27,3,Closed - False Positive,0.8,N
ALT04987,C00098,2024-06-24,High-Risk Jurisdiction Transfer,40401.63,United Kingdom,Low,AN038,Closed,2024-06-29,5,Closed - False Positive,0.9,N
ALT03290,C00154,2024-06-24,Unusual Activity vs Profile,5996.57,United Kingdom,Low,AN033,Closed,2024-07-04,10,Closed - False Positive,0.8,N
ALT01488,C01180,2024-06-25,Large Cash Deposit,46257.16,Panama,Medium,AN035,Closed,2024-07-13,18,Closed - False Positive,0.8,N
ALT02220,C00088,2024-06-25,Unusual Activity vs Profile,12431.35,United Kingdom,Low,AN038,Closed,2024-06-30,5,Closed - False Positive,0.6,N
ALT04653,C00433,2024-06-25,Large Cash Deposit,29203.05,United Kingdom,Low,AN039,Closed,2024-07-04,9,Closed - False Positive,0.6,N
ALT03942,C01563,2024-06-25,Dormant Account Reactivation,25330.61,Hong Kong,Low,AN038,Closed,2024-06-29,4,Closed - False Positive,0.6,N
ALT04225,C00300,2024-06-26,Structuring,9303.54,Nigeria,Medium,AN037,Closed,2024-06-30,4,Closed - False Positive,1.2,N
